"count" "condition" "gene" "sample"
8136.78659026046 "desiccation" "LOC105334580" "R59"
4797.61654856897 "desiccation" "LOC105334580" "R60"
518.256766354972 "desiccation" "LOC105334580" "R61"
1495.67971177638 "desiccation" "LOC105334580" "R62"
5.72576782473714 "control" "LOC105320412" "T55"
8.89954429171422 "control" "LOC105320412" "T56"
4.66815459165344 "control" "LOC105320412" "T57"
4.38575395185316 "control" "LOC105320412" "T58"
9.72603628631721 "control" "LOC105320412" "T59"
8.56835799169546 "control" "LOC105320412" "T60"
13.3581493884744 "control" "LOC105320412" "T61"
6.48686879898327 "control" "LOC105320412" "T62"
1.45147024198231 "control" "LOC105320412" "X45"
708.414063935239 "control" "LOC105320412" "X46"
13.00377266737 "control" "LOC105320412" "X47"
2.78419889484837 "control" "LOC105320412" "X48"
1228.75869510278 "desiccation" "LOC105320412" "R51"
14.1484179888227 "desiccation" "LOC105320412" "R52"
10.2460732093331 "desiccation" "LOC105320412" "R53"
14.6121336854673 "desiccation" "LOC105320412" "R54"
681.757403720489 "desiccation" "LOC105320412" "R55"
8.64593899389795 "desiccation" "LOC105320412" "R56"
12.0562131666014 "desiccation" "LOC105320412" "R57"
538.449828802109 "desiccation" "LOC105320412" "R58"
7.1019852241646 "desiccation" "LOC105320412" "R59"
76.4380729081474 "desiccation" "LOC105320412" "R60"
17.4942045849553 "desiccation" "LOC105320412" "R61"
15.5571975002656 "desiccation" "LOC105320412" "R62"
13.5644195618429 "control" "LOC105344998" "T55"
65.829788935555 "control" "LOC105344998" "T56"
53.8523787731641 "control" "LOC105344998" "T57"
34.176534249394 "control" "LOC105344998" "T58"
32.1321244102304 "control" "LOC105344998" "T59"
13.9472633194924 "control" "LOC105344998" "T60"
20.9217666758122 "control" "LOC105344998" "T61"
20.8553539165431 "control" "LOC105344998" "T62"
50.9279228250623 "control" "LOC105344998" "X45"
10.9987255244633 "control" "LOC105344998" "X46"
14.5667442507913 "control" "LOC105344998" "X47"
35.9050828701497 "control" "LOC105344998" "X48"
567.061929207159 "desiccation" "LOC105344998" "R51"
94.2191368565823 "desiccation" "LOC105344998" "R52"
10.2460732093331 "desiccation" "LOC105344998" "R53"
474.138486818496 "desiccation" "LOC105344998" "R54"
146.011290115056 "desiccation" "LOC105344998" "R55"
907.753955445384 "desiccation" "LOC105344998" "R56"
73.9644979876802 "desiccation" "LOC105344998" "R57"
305.067909774059 "desiccation" "LOC105344998" "R58"
198.559556724938 "desiccation" "LOC105344998" "R59"
975.761822063207 "desiccation" "LOC105344998" "R60"
262.210750608312 "desiccation" "LOC105344998" "R61"
175.163491003081 "desiccation" "LOC105344998" "R62"
4.85480652061429 "control" "LOC105343216" "T55"
26.631915574222 "control" "LOC105343216" "T56"
13.838094693291 "control" "LOC105343216" "T57"
14.7477644901282 "control" "LOC105343216" "T58"
38.7221503290285 "control" "LOC105343216" "T59"
14.8437475407919 "control" "LOC105343216" "T60"
13.3581493884744 "control" "LOC105343216" "T61"
2.89474751959331 "control" "LOC105343216" "T62"
12.86911314577 "control" "LOC105343216" "X45"
18.4978151847942 "control" "LOC105343216" "X46"
19.255659001055 "control" "LOC105343216" "X47"
11.9209944742418 "control" "LOC105343216" "X48"
44.6697456053558 "desiccation" "LOC105343216" "R51"
9.59894532588178 "desiccation" "LOC105343216" "R52"
10.2460732093331 "desiccation" "LOC105343216" "R53"
92.2288689555373 "desiccation" "LOC105343216" "R54"
141.286897578853 "desiccation" "LOC105343216" "R55"
38.174967846778 "desiccation" "LOC105343216" "R56"
492.464503378173 "desiccation" "LOC105343216" "R57"
138.366539039737 "desiccation" "LOC105343216" "R58"
518.095641574505 "desiccation" "LOC105343216" "R59"
461.552585513752 "desiccation" "LOC105343216" "R60"
54.881454671857 "desiccation" "LOC105343216" "R61"
133.003338002337 "desiccation" "LOC105343216" "R62"
8.33865173710571 "control" "LOC105320423" "T55"
6.09969619447615 "control" "LOC105320423" "T56"
2.16726183666138 "control" "LOC105320423" "T57"
3.09050263456877 "control" "LOC105320423" "T58"
13.680051837596 "control" "LOC105320423" "T59"
7.67187377039597 "control" "LOC105320423" "T60"
12.6017876597406 "control" "LOC105320423" "T61"
11.2763638381699 "control" "LOC105320423" "T62"
2.40294048396462 "control" "LOC105320423" "X45"
532.935365883495 "control" "LOC105320423" "X46"
10.6593152922381 "control" "LOC105320423" "X47"
7.3525966845451 "control" "LOC105320423" "X48"
866.057130228029 "desiccation" "LOC105320423" "R51"
8.6890507932936 "desiccation" "LOC105320423" "R52"
9.16317618607389 "desiccation" "LOC105320423" "R53"
9.32008355341705 "desiccation" "LOC105320423" "R54"
535.301235098193 "desiccation" "LOC105320423" "R55"
11.7006661166097 "desiccation" "LOC105320423" "R56"
9.57988177375823 "desiccation" "LOC105320423" "R57"
378.056077500978 "desiccation" "LOC105320423" "R58"
11.0631763586634 "desiccation" "LOC105320423" "R59"
69.9290952303062 "desiccation" "LOC105320423" "R60"
15.2283106402946 "desiccation" "LOC105320423" "R61"
14.0514777502391 "desiccation" "LOC105320423" "R62"
17.0482647783343 "control" "LOC117681182" "T55"
19.1656539815872 "control" "LOC117681182" "T56"
37.1797604065503 "control" "LOC117681182" "T57"
63.9673145469349 "control" "LOC117681182" "T58"
37.4041451452689 "control" "LOC117681182" "T59"
31.8769477454824 "control" "LOC117681182" "T60"
26.9726605056825 "control" "LOC117681182" "T61"
26.8422227155264 "control" "LOC117681182" "T62"
19.5294048396462 "control" "LOC117681182" "X45"
16.997997252728 "control" "LOC117681182" "X46"
27.0705169181613 "control" "LOC117681182" "X47"
27.9103867381804 "control" "LOC117681182" "X48"
70.1522911469071 "desiccation" "LOC117681182" "R51"
46.9046211619971 "desiccation" "LOC117681182" "R52"
57.8935422327395 "desiccation" "LOC117681182" "R53"
154.851462184798 "desiccation" "LOC117681182" "R54"
168.688374288831 "desiccation" "LOC117681182" "R55"
45.3026644664387 "desiccation" "LOC117681182" "R56"
506.497047937618 "desiccation" "LOC117681182" "R57"
132.960008097002 "desiccation" "LOC117681182" "R58"
1480.6650872577 "desiccation" "LOC117681182" "R59"
270.62257363041 "desiccation" "LOC117681182" "R60"
110.395856316044 "desiccation" "LOC117681182" "R61"
45.6715925007968 "desiccation" "LOC117681182" "R62"
8.33865173710571 "control" "LOC105320418" "T55"
10.7661096898729 "control" "LOC105320418" "T56"
3.83452367332276 "control" "LOC105320418" "T57"
5.68100526913754 "control" "LOC105320418" "T58"
4.45401555127881 "control" "LOC105320418" "T59"
10.3613264342945 "control" "LOC105320418" "T60"
10.3327024735392 "control" "LOC105320418" "T61"
12.4737375979665 "control" "LOC105320418" "T62"
2.40294048396462 "control" "LOC105320418" "X45"
480.441738261179 "control" "LOC105320418" "X46"
10.6593152922381 "control" "LOC105320418" "X47"
5.06839778969673 "control" "LOC105320418" "X48"
734.39731159668 "desiccation" "LOC105320418" "R51"
8.6890507932936 "desiccation" "LOC105320418" "R52"
10.2460732093331 "desiccation" "LOC105320418" "R53"
11.0841002641005 "desiccation" "LOC105320418" "R54"
502.230487344771 "desiccation" "LOC105320418" "R55"
5.59121187118622 "desiccation" "LOC105320418" "R56"
11.230769368987 "desiccation" "LOC105320418" "R57"
326.694033544998 "desiccation" "LOC105320418" "R58"
7.1019852241646 "desiccation" "LOC105320418" "R59"
64.5049471654385 "desiccation" "LOC105320418" "R60"
11.8294697233035 "desiccation" "LOC105320418" "R61"
17.0629172502922 "desiccation" "LOC105320418" "R62"
8.33865173710571 "control" "LOC105320431" "T55"
9.83282699079358 "control" "LOC105320431" "T56"
4.66815459165344 "control" "LOC105320431" "T57"
4.38575395185316 "control" "LOC105320431" "T58"
7.09002591879801 "control" "LOC105320431" "T59"
9.46484221299496 "control" "LOC105320431" "T60"
13.3581493884744 "control" "LOC105320431" "T61"
11.2763638381699 "control" "LOC105320431" "T62"
2.40294048396462 "control" "LOC105320431" "X45"
536.684910713661 "control" "LOC105320431" "X46"
9.87782950052752 "control" "LOC105320431" "X47"
9.63679557939347 "control" "LOC105320431" "X48"
836.327493762886 "desiccation" "LOC105320431" "R51"
9.59894532588178 "desiccation" "LOC105320431" "R52"
3.74869106977771 "desiccation" "LOC105320431" "R53"
9.32008355341705 "desiccation" "LOC105320431" "R54"
558.923197779208 "desiccation" "LOC105320431" "R55"
9.66418136813519 "desiccation" "LOC105320431" "R56"
9.57988177375823 "desiccation" "LOC105320431" "R57"
412.297440138298 "desiccation" "LOC105320431" "R58"
8.42238226899752 "desiccation" "LOC105320431" "R59"
68.8442656173326 "desiccation" "LOC105320431" "R60"
10.6965227509732 "desiccation" "LOC105320431" "R61"
12.5457580002125 "desiccation" "LOC105320431" "R62"
4.85480652061429 "control" "LOC105348880" "T55"
3.29984809723807 "control" "LOC105348880" "T56"
3.83452367332276 "control" "LOC105348880" "T57"
1.79525131728439 "control" "LOC105348880" "T58"
16.3160622051152 "control" "LOC105348880" "T59"
3.18945266389849 "control" "LOC105348880" "T60"
5.7945321011365 "control" "LOC105348880" "T61"
1.69737375979665 "control" "LOC105348880" "T62"
2.40294048396462 "control" "LOC105348880" "X45"
3.49963586413237 "control" "LOC105348880" "X46"
5.18891475026376 "control" "LOC105348880" "X47"
3.92629834227255 "control" "LOC105348880" "X48"
8.9941818471838 "desiccation" "LOC105348880" "R51"
124.245656431992 "desiccation" "LOC105348880" "R52"
12.4118672558516 "desiccation" "LOC105348880" "R53"
3.14602506602512 "desiccation" "LOC105348880" "R54"
3.33463552172187 "desiccation" "LOC105348880" "R55"
43.2661797179642 "desiccation" "LOC105348880" "R56"
42.5976336783336 "desiccation" "LOC105348880" "R57"
31.137008675497 "desiccation" "LOC105348880" "R58"
53.3158817933168 "desiccation" "LOC105348880" "R59"
2.66965922594707 "desiccation" "LOC105348880" "R60"
3.89884091699106 "desiccation" "LOC105348880" "R61"
119.451860252098 "desiccation" "LOC105348880" "R62"
10.0805743453514 "control" "LOC105319646" "T55"
15.4325231852697 "control" "LOC105319646" "T56"
7.16904734664551 "control" "LOC105319646" "T57"
27.7002776629721 "control" "LOC105319646" "T58"
32.1321244102304 "control" "LOC105319646" "T59"
55.1855374992693 "control" "LOC105319646" "T60"
51.1762358251636 "control" "LOC105319646" "T61"
5.28949503918661 "control" "LOC105319646" "T62"
8.11176193585847 "control" "LOC105319646" "X45"
13.2484524225626 "control" "LOC105319646" "X46"
36.4483464186888 "control" "LOC105319646" "X47"
10.7788950268177 "control" "LOC105319646" "X48"
30.2296364651433 "desiccation" "LOC105319646" "R51"
175.19975025693 "desiccation" "LOC105319646" "R52"
309.125651628882 "desiccation" "LOC105319646" "R53"
64.8866099399445 "desiccation" "LOC105319646" "R54"
73.255645057528 "desiccation" "LOC105319646" "R55"
470.927976897606 "desiccation" "LOC105319646" "R56"
87.1715987495104 "desiccation" "LOC105319646" "R57"
87.9055835742121 "desiccation" "LOC105319646" "R58"
149.70486606612 "desiccation" "LOC105319646" "R59"
33.044888389206 "desiccation" "LOC105319646" "R60"
113.794697233035 "desiccation" "LOC105319646" "R61"
111.923261501966 "desiccation" "LOC105319646" "R62"
18.79018738658 "control" "LOC105343641" "T55"
66.7630716346344 "control" "LOC105343641" "T56"
17.1726183666138 "control" "LOC105343641" "T57"
12.1572618555595 "control" "LOC105343641" "T58"
28.1781088589516 "control" "LOC105343641" "T59"
2.29296844259899 "control" "LOC105343641" "T60"
5.03817037240271 "control" "LOC105343641" "T61"
5.28949503918661 "control" "LOC105343641" "T62"
34.7529287113631 "control" "LOC105343641" "X45"
4.99945379619855 "control" "LOC105343641" "X46"
9.09634370881689 "control" "LOC105343641" "X47"
32.4787845278771 "control" "LOC105343641" "X48"
182.275491529733 "desiccation" "LOC105343641" "R51"
13.2385234562345 "desiccation" "LOC105343641" "R52"
41.650086883851 "desiccation" "LOC105343641" "R53"
64.0046015846028 "desiccation" "LOC105343641" "R54"
2.38975701448125 "desiccation" "LOC105343641" "R55"
29.0107864786428 "desiccation" "LOC105343641" "R56"
45.8994088687911 "desiccation" "LOC105343641" "R57"
23.0272122613949 "desiccation" "LOC105343641" "R58"
540.542391336665 "desiccation" "LOC105343641" "R59"
182.751374979554 "desiccation" "LOC105343641" "R60"
190.835091351499 "desiccation" "LOC105343641" "R61"
81.8088665014343 "desiccation" "LOC105343641" "R62"
90.2090143246543 "control" "LOC105326670" "T55"
68.6296370327931 "control" "LOC105326670" "T56"
63.0223188748017 "control" "LOC105326670" "T57"
91.167592209907 "control" "LOC105326670" "T58"
99.3503887819701 "control" "LOC105326670" "T59"
78.4941272530561 "control" "LOC105326670" "T60"
79.1616197883137 "control" "LOC105326670" "T61"
158.553336293158 "control" "LOC105326670" "T62"
69.9573276647085 "control" "LOC105326670" "X45"
64.2422621128129 "control" "LOC105326670" "X46"
74.7411502125095 "control" "LOC105326670" "X47"
91.8679557939347 "control" "LOC105326670" "X48"
232.391164428118 "desiccation" "LOC105326670" "R51"
219.784582353751 "desiccation" "LOC105326670" "R52"
209.499125489033 "desiccation" "LOC105326670" "R53"
392.993718127059 "desiccation" "LOC105326670" "R54"
445.537776910334 "desiccation" "LOC105326670" "R55"
147.126901890163 "desiccation" "LOC105326670" "R56"
370.298821331244 "desiccation" "LOC105326670" "R57"
445.637714285163 "desiccation" "LOC105326670" "R58"
915.535152069214 "desiccation" "LOC105326670" "R59"
259.774277500675 "desiccation" "LOC105326670" "R60"
216.892871715098 "desiccation" "LOC105326670" "R61"
196.243567503453 "desiccation" "LOC105326670" "R62"
2.24192260824571 "control" "LOC117691044" "T55"
32.2316117686982 "control" "LOC117691044" "T56"
0.5 "control" "LOC117691044" "T57"
282.864787167996 "control" "LOC117691044" "T58"
162.614637602431 "control" "LOC117691044" "T59"
44.4277268436753 "control" "LOC117691044" "T60"
60.2525765699691 "control" "LOC117691044" "T61"
2.89474751959331 "control" "LOC117691044" "T62"
9.06323217784077 "control" "LOC117691044" "X45"
18.4978151847942 "control" "LOC117691044" "X46"
90.370866046722 "control" "LOC117691044" "X47"
7.3525966845451 "control" "LOC117691044" "X48"
1355.32200462582 "desiccation" "LOC117691044" "R51"
205.22626983234 "desiccation" "LOC117691044" "R52"
10.2460732093331 "desiccation" "LOC117691044" "R53"
1148.8748786549 "desiccation" "LOC117691044" "R54"
61.9171029706405 "desiccation" "LOC117691044" "R55"
697.996026352512 "desiccation" "LOC117691044" "R56"
67.3609476067652 "desiccation" "LOC117691044" "R57"
85.2023181028447 "desiccation" "LOC117691044" "R58"
1574.41327744084 "desiccation" "LOC117691044" "R59"
787.001469405812 "desiccation" "LOC117691044" "R60"
317.725152252499 "desiccation" "LOC117691044" "R61"
161.612013252842 "desiccation" "LOC117691044" "R62"
462.109491185114 "control" "LOC105325416" "T55"
359.813839145553 "control" "LOC105325416" "T56"
441.490755796934 "control" "LOC105325416" "T57"
385.189641233462 "control" "LOC105325416" "T58"
335.273316674939 "control" "LOC105325416" "T59"
452.328047534946 "control" "LOC105325416" "T60"
362.04090633475 "control" "LOC105325416" "T61"
305.830308748147 "control" "LOC105325416" "T62"
432.467489859968 "control" "LOC105325416" "X45"
329.710036088527 "control" "LOC105325416" "X46"
317.001745642804 "control" "LOC105325416" "X47"
542.997237526487 "control" "LOC105325416" "X48"
1822.50200622092 "desiccation" "LOC105325416" "R51"
565.544504737258 "desiccation" "LOC105325416" "R52"
428.244324187398 "desiccation" "LOC105325416" "R53"
581.743506170184 "desiccation" "LOC105325416" "R54"
1491.5182844257 "desiccation" "LOC105325416" "R55"
413.906403940321 "desiccation" "LOC105325416" "R56"
2880.47340987659 "desiccation" "LOC105325416" "R57"
602.427111624471 "desiccation" "LOC105325416" "R58"
1232.43044282912 "desiccation" "LOC105325416" "R59"
5315.08027395734 "desiccation" "LOC105325416" "R60"
818.487714022516 "desiccation" "LOC105325416" "R61"
861.771697015193 "desiccation" "LOC105325416" "R62"
3.98384521649143 "control" "LOC117687358" "T55"
3.29984809723807 "control" "LOC117687358" "T56"
13.838094693291 "control" "LOC117687358" "T57"
5.68100526913754 "control" "LOC117687358" "T58"
13.680051837596 "control" "LOC117687358" "T59"
