gene,padj,log2FoldChange,description,product_accession,GeneID,genomic_accession,start,end,GOID,GOterm,GOSlim,GOcat
LOC105326341,0.0129338746961685,-1.62272348681917,AAC-rich mRNA clone AAC4 protein-like,XM_011426321.3,105326341,NC_047559.1,26425494,26427417,GO:0016021,integral to membrane,other membranes,C
LOC105338579,0.00146099752350915,-1.6200273560117,collagen alpha-1(XII) chain,XM_011443766.3,105338579,NC_047561.1,18199539,18203049,GO:0005576,extracellular region,non-structural extracellular,C
LOC105338579,0.00146099752350915,-1.6200273560117,collagen alpha-1(XII) chain,XM_011443766.3,105338579,NC_047561.1,18199539,18203049,GO:0005595,collagen type XII,extracellular matrix,C
LOC105338579,0.00146099752350915,-1.6200273560117,collagen alpha-1(XII) chain,XM_011443766.3,105338579,NC_047561.1,18199539,18203049,GO:0005615,extracellular space,non-structural extracellular,C
LOC105338579,0.00146099752350915,-1.6200273560117,collagen alpha-1(XII) chain,XM_011443766.3,105338579,NC_047561.1,18199539,18203049,GO:0005788,endoplasmic reticulum lumen,ER/Golgi,C
LOC105338579,0.00146099752350915,-1.6200273560117,collagen alpha-1(XII) chain,XM_011443766.3,105338579,NC_047561.1,18199539,18203049,GO:0031012,extracellular matrix,non-structural extracellular,C
LOC105338579,0.00146099752350915,-1.6200273560117,collagen alpha-1(XII) chain,XM_011443766.3,105338579,NC_047561.1,18199539,18203049,GO:0070062,extracellular vesicular exosome,non-structural extracellular,C
LOC105347119,0.0158113590538562,-1.54732030564553,complement C1q tumor necrosis factor-related protein 3,XM_011456025.3,105347119,NC_047566.1,33438888,33441273,GO:0005581,collagen,extracellular matrix,C
LOC105347119,0.0158113590538562,-1.54732030564553,complement C1q tumor necrosis factor-related protein 3,XM_011456025.3,105347119,NC_047566.1,33438888,33441273,GO:0005615,extracellular space,non-structural extracellular,C
LOC105347119,0.0158113590538562,-1.54732030564553,complement C1q tumor necrosis factor-related protein 3,XM_011456025.3,105347119,NC_047566.1,33438888,33441273,GO:0005623,cell,other cellular component,C
LOC105347119,0.0158113590538562,-1.54732030564553,complement C1q tumor necrosis factor-related protein 3,XM_011456025.3,105347119,NC_047566.1,33438888,33441273,GO:0016020,membrane,other membranes,C
LOC105347119,0.0158113590538562,-1.54732030564553,complement C1q tumor necrosis factor-related protein 3,XM_011456025.3,105347119,NC_047566.1,33438888,33441273,GO:0070062,extracellular vesicular exosome,non-structural extracellular,C
LOC117691751,0.0329937674558669,-1.54092219735319,complement C1q-like protein 2,XM_034478420.1,117691751,NC_047563.1,37925283,37927977,GO:0005581,collagen,extracellular matrix,C
LOC117691751,0.0329937674558669,-1.54092219735319,complement C1q-like protein 2,XM_034478420.1,117691751,NC_047563.1,37925283,37927977,GO:0005615,extracellular space,non-structural extracellular,C
LOC117690337,0.0256215505110055,-1.4799629959025,uncharacterized protein LOC117690337 isoform X1,XM_034474321.1,117690337,NC_047562.1,7638824,7642439,GO:0005578,proteinaceous extracellular matrix,extracellular matrix,C
LOC117690337,0.0256215505110055,-1.4799629959025,uncharacterized protein LOC117690337 isoform X1,XM_034474321.1,117690337,NC_047562.1,7638824,7642439,GO:0005581,collagen,extracellular matrix,C
LOC117690337,0.0256215505110055,-1.4799629959025,uncharacterized protein LOC117690337 isoform X1,XM_034474323.1,117690337,NC_047562.1,7638824,7642439,GO:0005578,proteinaceous extracellular matrix,extracellular matrix,C
LOC117690337,0.0256215505110055,-1.4799629959025,uncharacterized protein LOC117690337 isoform X1,XM_034474323.1,117690337,NC_047562.1,7638824,7642439,GO:0005581,collagen,extracellular matrix,C
LOC105340472,0.00528831467874839,-1.44171447198227,actin-like,XM_034458843.1,105340472,NC_047568.1,48247379,48251955,GO:0005737,cytoplasm,other cellular component,C
LOC105340472,0.00528831467874839,-1.44171447198227,actin-like,XM_034458843.1,105340472,NC_047568.1,48247379,48251955,GO:0005856,cytoskeleton,cytoskeleton,C
LOC105336572,0.00620792473819418,-1.40269659143539,cytochrome P450 2J2,XM_011440932.3,105336572,NC_047566.1,44484308,44491365,GO:0005789,endoplasmic reticulum membrane,ER/Golgi,C
LOC105336572,0.00620792473819418,-1.40269659143539,cytochrome P450 2J2,XM_011440932.3,105336572,NC_047566.1,44484308,44491365,GO:0005789,endoplasmic reticulum membrane,other membranes,C
LOC105336572,0.00620792473819418,-1.40269659143539,cytochrome P450 2J2,XM_011440932.3,105336572,NC_047566.1,44484308,44491365,GO:0016021,integral to membrane,other membranes,C
LOC105336572,0.00620792473819418,-1.40269659143539,cytochrome P450 2J2,XM_011440932.3,105336572,NC_047566.1,44484308,44491365,GO:0031090,organelle membrane,other membranes,C
LOC105336572,0.00620792473819418,-1.40269659143539,cytochrome P450 2J2,XM_034450125.1,105336572,NC_047566.1,44484399,44491365,GO:0005789,endoplasmic reticulum membrane,ER/Golgi,C
LOC105336572,0.00620792473819418,-1.40269659143539,cytochrome P450 2J2,XM_034450125.1,105336572,NC_047566.1,44484399,44491365,GO:0005789,endoplasmic reticulum membrane,other membranes,C
LOC105336572,0.00620792473819418,-1.40269659143539,cytochrome P450 2J2,XM_034450125.1,105336572,NC_047566.1,44484399,44491365,GO:0016021,integral to membrane,other membranes,C
LOC105336572,0.00620792473819418,-1.40269659143539,cytochrome P450 2J2,XM_034450125.1,105336572,NC_047566.1,44484399,44491365,GO:0031090,organelle membrane,other membranes,C
LOC105336572,0.00620792473819418,-1.40269659143539,cytochrome P450 2J2,XM_011440934.3,105336572,NC_047566.1,44484485,44491365,GO:0005789,endoplasmic reticulum membrane,ER/Golgi,C
LOC105336572,0.00620792473819418,-1.40269659143539,cytochrome P450 2J2,XM_011440934.3,105336572,NC_047566.1,44484485,44491365,GO:0005789,endoplasmic reticulum membrane,other membranes,C
LOC105336572,0.00620792473819418,-1.40269659143539,cytochrome P450 2J2,XM_011440934.3,105336572,NC_047566.1,44484485,44491365,GO:0016021,integral to membrane,other membranes,C
LOC105336572,0.00620792473819418,-1.40269659143539,cytochrome P450 2J2,XM_011440934.3,105336572,NC_047566.1,44484485,44491365,GO:0031090,organelle membrane,other membranes,C
LOC117686351,0.0200430214176518,-1.31312343113423,uncharacterized protein LOC117686351,XM_034461202.1,117686351,NW_022994886.1,53844,62392,GO:0005634,nucleus,nucleus,C
LOC117686351,0.0200430214176518,-1.31312343113423,uncharacterized protein LOC117686351,XM_034461202.1,117686351,NW_022994886.1,53844,62392,GO:0005657,replication fork,other cellular component,C
LOC117686351,0.0200430214176518,-1.31312343113423,uncharacterized protein LOC117686351,XM_034461202.1,117686351,NW_022994886.1,53844,62392,GO:0005739,mitochondrion,mitochondrion,C
LOC105323222,0.0442196258090998,-1.30387456957951,uncharacterized protein LOC105323222,XM_034451227.1,105323222,NC_047566.1,31582129,31599988,GO:0005737,cytoplasm,other cellular component,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005764,lysosome,other cytoplasmic organelle,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005769,early endosome,other cytoplasmic organelle,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005770,late endosome,other cytoplasmic organelle,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005794,Golgi apparatus,ER/Golgi,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005886,plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005886,plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005886,plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005886,plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005886,plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005886,plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005886,plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005886,plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005887,integral to plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005887,integral to plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005887,integral to plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005887,integral to plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005887,integral to plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005887,integral to plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005887,integral to plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005887,integral to plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0005905,coated pit,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0009897,external side of plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0009897,external side of plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0009897,external side of plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0009897,external side of plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0009897,external side of plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0009897,external side of plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0009897,external side of plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0009897,external side of plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0009986,cell surface,other cellular component,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0010008,endosome membrane,other cytoplasmic organelle,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0010008,endosome membrane,other cytoplasmic organelle,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0010008,endosome membrane,other cytoplasmic organelle,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0010008,endosome membrane,other cytoplasmic organelle,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0010008,endosome membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0010008,endosome membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0010008,endosome membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0010008,endosome membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0016020,membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0016323,basolateral plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0016323,basolateral plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0016323,basolateral plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0016323,basolateral plasma membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0016323,basolateral plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0016323,basolateral plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0016323,basolateral plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0016323,basolateral plasma membrane,plasma membrane,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0030669,clathrin-coated endocytic vesicle membrane,other membranes,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0034362,low-density lipoprotein particle,non-structural extracellular,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0043235,receptor complex,other cellular component,C
LOC105348479,0.000548471993983509,-1.27633039805883,very low-density lipoprotein receptor,XM_011457921.3,105348479,NC_047568.1,45217068,45218259,GO:0045177,apical part of cell,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0005737,cytoplasm,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0005886,plasma membrane,other membranes,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0005886,plasma membrane,plasma membrane,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0005903,brush border,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0005925,focal adhesion,other membranes,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0005925,focal adhesion,plasma membrane,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0008021,synaptic vesicle,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0016020,membrane,other membranes,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0016021,integral to membrane,other membranes,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0030424,axon,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0030425,dendrite,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0045202,synapse,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481736.1,105345294,NC_047564.1,27662640,27678388,GO:0070062,extracellular vesicular exosome,non-structural extracellular,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0005737,cytoplasm,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0005886,plasma membrane,other membranes,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0005886,plasma membrane,plasma membrane,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0005903,brush border,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0005925,focal adhesion,other membranes,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0005925,focal adhesion,plasma membrane,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0008021,synaptic vesicle,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0016020,membrane,other membranes,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0016021,integral to membrane,other membranes,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0030424,axon,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0030425,dendrite,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0045202,synapse,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_011453400.3,105345294,NC_047564.1,27662640,27678387,GO:0070062,extracellular vesicular exosome,non-structural extracellular,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0005737,cytoplasm,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0005886,plasma membrane,other membranes,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0005886,plasma membrane,plasma membrane,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0005903,brush border,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0005925,focal adhesion,other membranes,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0005925,focal adhesion,plasma membrane,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0008021,synaptic vesicle,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0016020,membrane,other membranes,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0016021,integral to membrane,other membranes,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0030424,axon,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0030425,dendrite,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0045202,synapse,other cellular component,C
LOC105345294,0.000203748210773317,-1.17547929773073,neprilysin-4 isoform X2,XM_034481737.1,105345294,NC_047564.1,27662640,27678376,GO:0070062,extracellular vesicular exosome,non-structural extracellular,C
LOC105334919,0.0162780483908373,-1.14361120128747,fibrinogen C domain-containing protein 1 isoform X2,XM_034446956.1,105334919,NC_047565.1,2150199,2168752,GO:0016020,membrane,other membranes,C
LOC105334919,0.0162780483908373,-1.14361120128747,fibrinogen C domain-containing protein 1 isoform X2,XM_034446956.1,105334919,NC_047565.1,2150199,2168752,GO:0016021,integral to membrane,other membranes,C
LOC105334919,0.0162780483908373,-1.14361120128747,fibrinogen C domain-containing protein 1 isoform X2,XM_034446955.1,105334919,NC_047565.1,2150249,2168752,GO:0016020,membrane,other membranes,C
LOC105334919,0.0162780483908373,-1.14361120128747,fibrinogen C domain-containing protein 1 isoform X2,XM_034446955.1,105334919,NC_047565.1,2150249,2168752,GO:0016021,integral to membrane,other membranes,C
LOC105334919,0.0162780483908373,-1.14361120128747,fibrinogen C domain-containing protein 1 isoform X2,XM_011438535.3,105334919,NC_047565.1,2165987,2168752,GO:0016020,membrane,other membranes,C
LOC105334919,0.0162780483908373,-1.14361120128747,fibrinogen C domain-containing protein 1 isoform X2,XM_011438535.3,105334919,NC_047565.1,2165987,2168752,GO:0016021,integral to membrane,other membranes,C
LOC105336885,0.000512219135125184,-1.14351285441577,prostaglandin reductase 1,XM_011441367.3,105336885,NC_047566.1,19536716,19542006,GO:0005737,cytoplasm,other cellular component,C
