Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),label
1,5,C08,M,00:06:20.84,0.138,C2
1,5,C09,M,00:06:21.73,0.135,C2
1,5,C10,M,00:06:22.62,0.211,D2
1,5,C11,M,00:06:23.51,0.211,D2
1,5,C12,M,00:06:24.39,0.212,D2
1,5,D01,M,00:06:27.73,0.182,D3
1,5,D02,M,00:06:28.62,0.179,D3
1,5,D03,M,00:06:29.50,0.180,D3
1,5,D04,M,00:06:30.39,0.202,A3
1,5,D05,M,00:06:31.28,0.201,A3
1,5,D06,M,00:06:32.17,0.204,A3
1,6,A01,M,00:07:10.72,0.077,GSH 0
1,6,A02,M,00:07:11.62,0.208,GSH 8
1,6,A03,M,00:07:12.50,0.358,GSH 16
1,6,A04,M,00:07:13.39,0.570,GSH 24
1,6,A05,M,00:07:14.28,0.798,GSH 32
1,6,A06,M,00:07:15.17,1.048,GSH 40
1,6,A07,M,00:07:16.06,0.221,PC 2
1,6,A08,M,00:07:16.95,0.104,PC 10
1,6,A09,M,00:07:17.84,0.210,PC 20
1,6,A10,M,00:07:18.73,0.278,A1
1,6,A11,M,00:07:19.62,0.269,A1
1,6,A12,M,00:07:20.50,0.283,A1
1,6,B01,M,00:07:23.84,0.270,A2
1,6,B02,M,00:07:24.73,0.286,A2
1,6,B03,M,00:07:25.62,0.289,A2
1,6,B04,M,00:07:26.50,0.229,B1
1,6,B05,M,00:07:27.39,0.216,B1
1,6,B06,M,00:07:28.28,0.219,B1
1,6,B07,M,00:07:29.17,0.269,B2
1,6,B08,M,00:07:30.06,0.228,B2
1,6,B09,M,00:07:30.95,0.224,B2
1,6,B10,M,00:07:31.84,0.200,B3
1,6,B11,M,00:07:32.73,0.238,B3
1,6,B12,M,00:07:33.62,0.172,B3
1,6,C01,M,00:07:36.95,0.178,B4
1,6,C02,M,00:07:37.84,0.272,B4
1,6,C03,M,00:07:38.73,0.175,B4
1,6,C04,M,00:07:39.61,0.155,C1
1,6,C05,M,00:07:40.50,0.134,C1
1,6,C06,M,00:07:41.39,0.134,C1
1,6,C07,M,00:07:42.28,0.151,C2
1,6,C08,M,00:07:43.17,0.138,C2
1,6,C09,M,00:07:44.06,0.137,C2
1,6,C10,M,00:07:44.95,0.215,D2
1,6,C11,M,00:07:45.84,0.215,D2
1,6,C12,M,00:07:46.73,0.217,D2
1,6,D01,M,00:07:50.06,0.187,D3
1,6,D02,M,00:07:50.95,0.183,D3
1,6,D03,M,00:07:51.84,0.185,D3
1,6,D04,M,00:07:52.73,0.205,A3
1,6,D05,M,00:07:53.61,0.203,A3
1,6,D06,M,00:07:54.50,0.206,A3
1,7,A01,M,00:08:33.10,0.077,GSH 0
1,7,A02,M,00:08:34.00,0.207,GSH 8
1,7,A03,M,00:08:34.89,0.356,GSH 16
1,7,A04,M,00:08:35.78,0.568,GSH 24
1,7,A05,M,00:08:36.67,0.795,GSH 32
1,7,A06,M,00:08:37.56,1.045,GSH 40
1,7,A07,M,00:08:38.45,0.225,PC 2
1,7,A08,M,00:08:39.34,0.106,PC 10
1,7,A09,M,00:08:40.23,0.215,PC 20
1,7,A10,M,00:08:41.11,0.280,A1
1,7,A11,M,00:08:42.00,0.271,A1
1,7,A12,M,00:08:42.89,0.286,A1
1,7,B01,M,00:08:46.23,0.270,A2
1,7,B02,M,00:08:47.11,0.286,A2
1,7,B03,M,00:08:48.00,0.290,A2
1,7,B04,M,00:08:48.89,0.229,B1
1,7,B05,M,00:08:49.78,0.217,B1
1,7,B06,M,00:08:50.67,0.220,B1
1,7,B07,M,00:08:51.56,0.269,B2
1,7,B08,M,00:08:52.45,0.229,B2
1,7,B09,M,00:08:53.34,0.224,B2
1,7,B10,M,00:08:54.23,0.201,B3
1,7,B11,M,00:08:55.11,0.238,B3
1,7,B12,M,00:08:56.00,0.172,B3
1,7,C01,M,00:08:59.34,0.179,B4
1,7,C02,M,00:09:00.23,0.272,B4
1,7,C03,M,00:09:01.11,0.177,B4
1,7,C04,M,00:09:02.00,0.155,C1
1,7,C05,M,00:09:02.89,0.135,C1
1,7,C06,M,00:09:03.78,0.135,C1
1,7,C07,M,00:09:04.67,0.152,C2
1,7,C08,M,00:09:05.56,0.139,C2
1,7,C09,M,00:09:06.45,0.137,C2
1,7,C10,M,00:09:07.34,0.219,D2
1,7,C11,M,00:09:08.23,0.219,D2
1,7,C12,M,00:09:09.11,0.221,D2
1,7,D01,M,00:09:12.45,0.192,D3
1,7,D02,M,00:09:13.34,0.189,D3
