ID,L_cm,W_cm,H_cm,V_cm
D17,8,6.2,3,78
D18,9,6.2,3.2,93
D19,8.8,4.9,2.6,59
D20,10.2,5.5,2.5,73
D21,7.8,5.7,2.9,68
D22,9,5.3,3,75
D23,7.6,5.3,3.1,65
D24,10,5.4,3.2,90
D25,10.1,7.1,4.2,158
D26,8.8,5.8,3.2,86
D27,9.2,4.8,3.1,72
D28,8.9,5.4,3.1,78
D29,7.9,6,3.1,77
D30,8.7,5.5,3.1,78
D31,10,5.9,3,93
D32,7.2,5.1,3,58
D33,9.2,7.1,3.6,123
D34,10.6,6.4,4.1,146
D35,8.1,4.9,3.3,69
D36,9.6,5,3.9,98
D37,8.4,4.8,2.8,59
D38,9,6,3.5,99
D39,6.5,5.5,3.3,62
D40,9.9,6.4,3.1,103
D41,8.6,5.6,2.6,66
D42,8.6,4.8,2.4,52
D43,7,4.5,2.3,38
D44,9.5,6,4,119
D45,9.5,7.1,2.9,102
D46,7.1,4.6,2.3,39
D47,7.5,4.3,2.7,46
D48,8.1,5.7,3.2,77
D49,9.5,5,2.7,67
D50,8,4.9,2.7,55
D51,7,5.7,2.7,56
D52,8,3.2,2.6,35
D53,7.6,5.1,2.9,59
D60,8.6,6.2,3,84
D61,11.1,4.8,2.8,78
D62,9.5,5.6,3.5,97
D63,9.9,6.3,2.9,95
D64,8.1,4.7,2.6,52
D65,9.5,6.2,3.9,120
D66,8.3,6.3,3.3,90
D67,8.4,5.1,2.5,56
D68,9.3,4,2.7,53
D69,9.6,5.9,3.1,92
D70,9.4,5.8,3.1,88
D71,10,6.1,3.3,105
D72,8.5,5.3,2.8,66
D73,9.5,5.2,3.4,88
D74,8.9,5.1,3,71
D75,9.3,4.5,2.8,61
D76,9.2,5,3.1,75
D77,9.1,6,3.4,97
D78,10.2,6.9,3.6,133
D79,8.2,5,3,64
D80,7.9,4.8,2.9,58
D81,8.5,4.7,2.6,54
D82,7.9,5.1,3.1,65
D83,8.6,6.3,3.1,88
D84,8.6,6.1,2.7,74
D85,9.7,5.5,3.5,98
D86,8.7,5,3.2,73
D87,8.3,6.1,2.6,69
D88,8.5,5.7,2.7,68
D89,6.3,5.7,2.6,49
D90,8.8,5.9,3,82
M50,10.2,6.2,4.1,136
M51,9.8,5.1,3,79
M52,10,5.1,3.2,85
M53,8,4.9,3.3,68
M54,8.6,5.2,3.3,77
M55,10.1,5.4,2.6,74
M56,8.9,5.5,3,77
M57,8.7,5.5,3,75
M58,8.4,5.8,2.9,74
M59,8.1,5,2.5,53
M60,9.4,5.5,3.1,84
M61,9.7,5.7,3.3,96
M62,8,4.5,3.5,66
M63,9.1,5.6,3,80
M64,9.2,4.8,2.6,60
M65,9,5.5,3.5,91
M66,8.7,4.6,3.1,65
M67,6.9,5.1,3,55
M68,9.9,5.7,2.9,86
M69,9.3,5.5,3.2,86
M70,10.9,6.2,4.2,149
M71,9.5,5.7,3.2,91
M72,8.2,6.2,3.7,98
M73,8.2,5,3.3,71
M74,9.7,5.7,3.2,93
M75,9.4,5.2,3.1,79
M76,8.9,3.8,2.3,41
M77,9.1,5.7,2.5,68
M78,9,6.4,3.3,100
M79,8.6,4.5,2.7,55
M80,10.3,4.9,3.1,82
M81,7.2,4.8,2.7,49
M82,9.9,5,3.6,93
M83,7.2,5.5,3.6,75
M84,9.1,5,4,95
M85,9.2,5.6,3.9,105
M86,8.6,5,2.1,47
M87,8.5,6.1,3,81
M88,7.5,5.9,3.2,74
M01,7.4,5.5,3,64
M02,8.4,6,2.9,77
M03,9.4,6.3,3,93
M04,9.4,5.1,2.6,65
M05,8.9,4.5,2.8,59
M06,7.6,6,3,72
M07,10.2,5.6,3.2,96
M08,8.9,6,3.1,87
M09,8.8,5.5,3.1,79
M10,9.3,7,3.1,106
M11,8.2,4.9,2.6,55
M12,8.9,5.3,2.7,67
M13,9.7,5.1,2.7,70
M14,9.2,4.8,3.4,79
M15,8.1,4.8,2.8,57
M16,8.5,5.1,3.2,73
M18,8.4,4.5,3.8,75
M19,9.7,6.3,3.8,122
M20,9.1,4.9,3,70
M21,7.7,4.6,2.6,48
M22,9.6,5.7,2.5,72
M23,7.4,3.7,3.6,52
M24,7.7,4.3,2.6,45
M25,7.2,5.5,2.9,60
M26,8.2,5,2.8,60
M27,9.7,5.6,2.6,74
M28,9.7,6.5,2.9,96
M29,8.1,4.9,2.9,60
M30,8.7,4.8,3,66
M31,6.9,5.1,2.7,50
M32,8.9,7.3,4,136
M33,9.5,5.7,3.6,102
M34,9.6,5,2.8,70
M35,7.4,5,2.7,52
M36,8.2,4.3,3.6,66
M37,8.6,4.8,3.2,69
M38,8.7,5.5,3.1,78
M39,9.5,3.8,2.5,47
M40,10.1,5,2.6,69
N01,8.6,4.6,2.9,60
N02,8.1,5.9,3.6,90
N03,8.6,5.8,3.5,91
N04,6.6,5.3,2.7,49
N05,8.6,6.2,3.4,95
N06,9.4,5.8,3.5,100
N07,9.2,5.2,3.1,78
N08,7.9,5.4,2.7,60
N09,8.7,5.4,3.1,76
N10,9.2,5.4,3,78
N11,8.1,5.9,3.1,78
N12,7.7,5,2.4,48
N14,9.4,5.6,3.4,94
N16,8.8,4.2,2.4,46
N17,8.7,4.7,3.5,75
N19,11,5.6,3.5,113
N20,8.3,5,3.2,70
N21,9.6,5.7,3.9,112
N22,11.2,6.3,3.8,140
N23,7.8,5.6,3.3,75
N24,7.7,6.6,2.6,69
N26,7.6,4.6,3,55
N27,10,5.4,2.5,71
N28,8.7,5.8,3.4,90
N29,10.8,5.8,3,98
N30,8,5.3,2.6,58
N31,9,5.2,2.8,69
N32,8.6,6.2,3.8,106
N33,8.9,6,3.1,87
N34,8,4.9,3.1,64
N35,9.6,5.5,2.9,80
N36,7.9,5.5,2.9,66
N37,11,4.5,2.7,70
N38,7.9,5.6,2.7,63
N39,8.4,5,2.7,59
N40,9.8,5.4,2.8,78
N48,7.7,5.6,3.4,77
N76,7,4.4,2.5,40
N77,7.6,4.6,2.7,49
N78,7.1,5.6,3.1,65
N79,6.8,4.3,2.8,43
N80,7.8,4.1,2.3,39
T01,9,7.2,3.4,115
T02,9.1,6.1,3.2,93
T03,8.1,5.6,3.6,86
T04,8,6,2.9,73
T05,7.6,7.2,2.8,80
T06,7.9,6.4,3.1,82
T07,7,5.3,2.5,49
T08,7.5,5.3,2.8,58
T09,8.3,7.7,3.5,117
T10,7.7,5.7,2.4,55
T11,8.1,5,3.1,66
T12,8.9,6.6,3.2,98
T13,8.6,5.7,3.1,80
T14,8.3,5.7,2.8,69
T15,8.1,5.6,3.2,76
T16,8,4.7,3,59
T17,7.8,4.5,2.6,48
T19,10.3,7.4,3.5,140
T20,9.9,6,3.9,121
T21,7.9,5.7,3.2,75
T22,8.7,6.8,3.6,112
T23,9.4,7,3.6,124
T24,7.9,7.1,4.1,120
T25,8.6,6.2,3.6,101
T25,7.6,5.2,2.9,60
T26,9.6,5.4,3,81
T27,9.6,6.6,4.4,146
T28,9.6,6.9,3.6,125
T30,8.1,5.6,3.9,93
T31,8,6.7,3.4,95
T32,9.4,6.8,3.4,114
T33,8.9,5.6,3,78
T34,9.4,5.7,3.4,95
T35,7.7,5.8,2.8,65
T36,7.5,4.6,2.4,43
T38,7.1,5.4,2.8,56
T39,8.1,4.8,3.2,65
T40,7.4,5.3,3.3,68
T42,9.6,6,3.4,103
T43,8.3,5.5,3.6,86
T44,10.5,7,3.5,135
T45,7.8,5.1,2.4,50
T46,8.2,6.5,3.3,92
T47,7.5,5.6,3.2,70
T48,7.1,5.6,3.3,69
T49,7.4,7.2,4.1,114
T51,7.4,5.6,3.1,67
T53,7.2,5.3,3.3,66
T64,8.4,5.9,3.2,83
T65,8.4,5.1,4.2,94
T66,8.1,6.3,3.6,96
T67,7,4.6,3.9,66
T69,7.6,4,3.5,56
T71,8,5.8,4.1,100
T72,5.8,5,2.4,36
T73,8.5,5.4,3.8,91
T74,8.6,6.6,3.1,92
T75,8.4,6,3.3,87
T77,7,4.8,2.8,49
T78,9.4,6.7,3.3,109
T79,7.2,5.6,3.5,74
T80,5.7,4.5,2.4,32
T81,6.9,4.9,3.6,64
T82,7.6,5.2,3,62
T83,9,6.4,2.5,75
T84,7.8,6.7,3,82
T85,7,5.1,3.1,58
T86,7.6,5.9,3,70
T87,7.6,6,3,72
T88,7.2,5.2,2.9,57
T89,6.7,6.5,2.9,66
X49,6,4.5,3,42
X50,6.5,5.3,2.6,47
X51,6.9,6.3,2.9,66
X52,7.3,5.3,2.8,57
X53,8,4.6,3.1,60
X54,6.4,4.7,2.9,46
X55,6,5.6,2.2,39
X56,8.5,5.5,4,98
X57,7.7,6.2,3.1,77
X58,9,6,3,85
X59,8.9,6.4,3,89
X60,5.8,5.4,2.4,39
X62,7.3,5.1,4,78
X64,7.6,4.7,2.1,39
X65,7.1,6.2,2.6,60
X66,6.7,6,3,63
X67,6.9,5,2.4,43
X68,7.7,5.4,3.4,74
X69,6.9,4.6,2,33
X71,7.9,5.9,3.9,95
X72,8.9,5.5,3.2,82
X73,8,5.5,3.2,74
X74,8,5.4,3.5,79
X75,7.5,5.5,2.6,56
X76,6.9,6.3,3,68
X77,7.7,5,3.1,62
X78,6.6,5.8,2.6,52
X79,7.1,5.5,2.5,51
X80,8.1,6.5,3.4,94
X81,6,3.7,3.1,36
X82,6.2,4.5,2.4,35
X83,7.5,5,2.5,49
X84,8.2,5.1,3.3,72
X86,6.9,5.4,2.9,57
X87,7,4.8,2.3,40
X88,5.3,4.6,3.2,41
X89,7,4.6,2.2,37
X90,6.4,5,2.7,45
R01,8.9,6.5,3.8,115
R02,6.8,5,3.1,55
R03,8.4,5.7,2.6,65
R05,8.1,6.5,3,83
R06,8.5,5.2,3.7,86
R08,8.3,6.1,3.4,90
R09,6.6,5.1,2.5,44
R10,8.9,6.6,3.4,105
R12,8.2,5.8,3,75
R13,9.8,6.2,3.8,121
R16,9.2,7.5,4.3,155
R17,8.8,5.7,3.6,95
R18,7.3,5.3,2.7,55
R19,8,5.7,3.5,84
R21,9.2,7.6,3.4,124
R23,8.3,6.1,3.7,98
R25,8.2,5.5,3.4,80
R26,8.7,5.6,3.5,89
R27,8.1,7,3.6,107
R28,8.4,5.7,3,75
R29,7.5,5.4,2.9,61
R30,7.6,6.2,3.1,76
R31,7.6,6.6,3,79
R33,8.2,6.4,3.5,96
R34,8.3,5.1,3,66
R35,9.4,6.4,3.3,104
R36,8.3,6,3.8,99
R37,7.1,6.4,3.1,74
R38,10.2,6.8,2.9,105
R39,9.7,6.2,3.8,120
R40,7.8,7.3,3.4,101
R79,8.7,5.7,2.9,75
R80,7.5,5.5,3.1,67
X02,8.1,6,3.6,92
X05,8.4,6.1,3,80
X07,9.2,6.3,3.6,109
X08,8.8,5.9,3.3,90
X10,7,4.7,2.6,45
X11,7,5.1,3,56
X12,6.9,4.9,2.7,48
X13,7.5,6.6,3.1,80
X15,7.2,6,3.5,79
X18,7.4,5.4,2.6,54
X21,8.8,6.2,3.2,91
X22,7.7,5.9,2.9,69
X23,7.8,6.2,3.1,78
X24,7.4,6,2.2,51
X26,7,5.5,2.6,52
X27,7.1,5.7,2.8,59
X28,8.6,6.1,2.6,71
X30,6.4,5.7,2.7,52
X31,8.2,6,3.6,93
X33,7.4,4.9,2.9,55
X35,8.4,6.5,3.5,100
X36,8.5,5.6,2.9,72
X37,9.1,5.7,3.1,84
X38,7.6,4,2.5,40
X40,8.6,7,3.5,110
