timepoint,ID,death,ploidy,trt,group_list,trt_list,umol_L_h,SMR_length,SMR_weight,L_cm,V_cm,W_g
10,D44,no,D,control,D_control,D_control_10,18.67723975,0.044,0.079,9.5,119,5.31
-10,D45,no,D,control,D_control,D_control_-10,53.01710001,0.125,0.345,9.5,102,3.44
10,D45,no,D,control,D_control,D_control_10,24.19234952,0.057,0.157,9.5,102,3.44
-10,D46,no,D,control,D_control,D_control_-10,42.23069903,0.133,0.392,7.1,39,2.41
10,D46,no,D,control,D_control,D_control_10,6.629356824,0.021,0.062,7.1,39,2.41
-10,D47,no,D,control,D_control,D_control_-10,17.23914952,0.051,0.134,7.5,46,2.87
10,D47,no,D,control,D_control,D_control_10,42.73255154,0.128,0.333,7.5,46,2.87
-10,D48,no,D,control,D_control,D_control_-10,35.32809073,0.098,0.217,8.1,77,3.64
10,D48,no,D,control,D_control,D_control_10,27.06347292,0.075,0.166,8.1,77,3.64
-10,D49,no,D,control,D_control,D_control_-10,50.03328888,0.118,0.318,9.5,67,3.52
10,D49,no,D,control,D_control,D_control_10,22.40790474,0.053,0.143,9.5,67,3.52
-10,D50,no,D,control,D_control,D_control_-10,44.126328,0.124,0.304,8,55,3.25
10,D50,no,D,control,D_control,D_control_10,26.12241017,0.073,0.18,8,55,3.25
-10,D51,no,D,control,D_control,D_control_-10,8.483570815,0.027,0.045,7,56,4.19
10,D51,no,D,control,D_control,D_control_10,95.76984273,0.306,0.512,7,56,4.19
-10,D52,no,D,control,D_control,D_control_-10,8.331740351,0.023,0.098,8,35,1.9
10,D52,no,D,control,D_control,D_control_10,33.0433584,0.092,0.389,8,35,1.9
10,D53,no,D,control,D_control,D_control_10,31.38437025,0.092,0.238,7.6,59,2.95
-10,M01,no,D,control,D_control,D_control_-10,14.18840449,0.043,0.14,7.4,64,2.27
-10,M02,no,D,control,D_control,D_control_-10,27.30267076,0.073,0.265,8.4,77,2.31
-10,M03,no,D,control,D_control,D_control_-10,53.02270106,0.126,0.622,9.4,93,1.91
-10,M04,no,D,control,D_control,D_control_-10,20.58101689,0.049,0.201,9.4,65,2.29
-10,M05,no,D,control,D_control,D_control_-10,11.02851582,0.028,0.123,8.9,59,2
-10,M06,no,D,control,D_control,D_control_-10,13.68135104,0.04,0.182,7.6,72,1.68
-10,M07,no,D,control,D_control,D_control_-10,23.42717062,0.051,0.258,10.2,96,2.03
-10,M08,no,D,control,D_control,D_control_-10,12.43968361,0.031,0.139,8.9,87,2
-10,M09,no,D,control,D_control,D_control_-10,36.54376922,0.093,0.431,8.8,79,1.9
-10,M10,no,D,control,D_control,D_control_-10,19.91359426,0.048,0.093,9.3,106,4.8
-10,M11,no,D,control,D_control,D_control_-10,13.76064848,0.038,0.119,8.2,55,2.6
-10,M12,no,D,control,D_control,D_control_-10,10.09416244,0.025,0.07,8.9,67,3.24
-10,M13,no,D,control,D_control,D_control_-10,6.488524441,0.015,0.074,9.7,70,1.97
-10,M14,no,D,control,D_control,D_control_-10,15.52147586,0.038,0.151,9.2,79,2.3
-10,M15,no,D,control,D_control,D_control_-10,5.459589331,0.015,0.066,8.1,57,1.86
-10,M16,no,D,control,D_control,D_control_-10,49.75613125,0.131,0.58,8.5,73,1.92
-10,M17,no,D,control,D_control,D_control_-10,42.34553882,0.11,0.339,8.6,56,2.8
-10,M18,no,D,control,D_control,D_control_-10,4.39451957,0.012,0.057,8.4,75,1.74
-10,M19,no,D,control,D_control,D_control_-10,15.33777709,0.035,0.155,9.7,122,2.21
-10,M20,no,D,control,D_control,D_control_-10,40.1140683,0.099,0.483,9.1,70,1.86
-10,M21,no,D,control,D_control,D_control_-10,40.52185974,0.118,0.531,7.7,48,1.71
-10,M22,no,D,control,D_control,D_control_-10,6.530264506,0.015,0.061,9.6,72,2.4
-10,M23,no,D,control,D_control,D_control_-10,14.7967375,0.045,0.215,7.4,52,1.54
-10,M24,no,D,control,D_control,D_control_-10,4.461789274,0.013,0.057,7.7,45,1.74
-10,M25,no,D,control,D_control,D_control_-10,9.4910666,0.03,0.128,7.2,60,1.66
-10,M26,no,D,control,D_control,D_control_-10,11.77377717,0.032,0.146,8.2,60,1.8
-10,M27,no,D,control,D_control,D_control_-10,50.04362138,0.116,0.609,9.7,74,1.84
-10,M28,no,D,control,D_control,D_control_-10,59.15553358,0.137,0.301,9.7,96,4.4
-10,M29,no,D,control,D_control,D_control_-10,29.56156214,0.082,0.268,8.1,60,2.47
-10,M30,no,D,control,D_control,D_control_-10,52.59815425,0.135,0.626,8.7,66,1.88
-10,M31,no,D,control,D_control,D_control_-10,25.27935211,0.082,0.385,6.9,50,1.47
-10,M32,no,D,control,D_control,D_control_-10,18.86351179,0.047,0.179,8.9,136,2.36
-10,M33,no,D,control,D_control,D_control_-10,27.40249568,0.065,0.298,9.5,102,2.06
-10,M34,no,D,control,D_control,D_control_-10,18.96662333,0.044,0.232,9.6,70,1.83
-10,M35,no,D,control,D_control,D_control_-10,13.23842113,0.04,0.176,7.4,52,1.68
-10,M36,no,D,control,D_control,D_control_-10,16.76362557,0.046,0.175,8.2,66,2.14
-10,M37,no,D,control,D_control,D_control_-10,19.74822947,0.051,0.251,8.6,69,1.76
-10,M38,no,D,control,D_control,D_control_-10,15.01749196,0.039,0.176,8.7,78,1.91
-10,M39,no,D,control,D_control,D_control_-10,11.17552264,0.026,0.159,9.5,47,1.57
-10,M40,no,D,control,D_control,D_control_-10,40.60951347,0.09,0.274,10.1,69,3.32
-10,N01,no,D,control,D_control,D_control_-10,66.20338028,0.172,0.501,8.6,60,2.96
-10,N02,no,D,control,D_control,D_control_-10,14.87417271,0.041,0.08,8.1,90,4.16
-10,N03,no,D,control,D_control,D_control_-10,22.61935771,0.059,0.121,8.6,91,4.2
-10,N04,no,D,control,D_control,D_control_-10,26.49380776,0.09,0.235,6.6,49,2.52
-10,N05,no,D,control,D_control,D_control_-10,51.61966728,0.134,0.265,8.6,95,4.36
-10,N06,no,D,control,D_control,D_control_-10,20.02763886,0.048,0.098,9.4,100,4.56
-10,N07,no,D,control,D_control,D_control_-10,32.57198835,0.079,0.198,9.2,78,3.68
-10,N08,no,D,control,D_control,D_control_-10,31.55049743,0.089,0.239,7.9,60,2.96
-10,N09,no,D,control,D_control,D_control_-10,39.23814036,0.101,0.244,8.7,76,3.6
-10,N10,no,D,control,D_control,D_control_-10,20.74062353,0.05,0.126,9.2,78,3.68
-10,N11,no,D,control,D_control,D_control_-10,24.0691768,0.067,0.146,8.1,78,3.68
-10,N12,no,D,control,D_control,D_control_-10,15.15488482,0.044,0.137,7.7,48,2.48
-10,N13,no,D,control,D_control,D_control_-10,38.08511585,0.089,0.26,9.6,68,3.28
-10,N14,no,D,control,D_control,D_control_-10,36.08934242,0.086,0.187,9.4,94,4.32
-10,N15,no,D,control,D_control,D_control_-10,9.088892189,0.025,0.076,8.3,53,2.68
-10,N16,no,D,control,D_control,D_control_-10,27.35097913,0.07,0.255,8.8,46,2.4
-10,N17,no,D,control,D_control,D_control_-10,16.98044139,0.044,0.107,8.7,75,3.56
-10,N18,no,D,control,D_control,D_control_-10,11.01724713,0.034,0.106,7.2,44,2.32
-10,N19,no,D,control,D_control,D_control_-10,8.286692804,0.017,0.037,11,113,5.08
-10,N20,no,D,control,D_control,D_control_-10,28.80808103,0.078,0.192,8.3,70,3.36
-10,N21,no,D,control,D_control,D_control_-10,24.06131733,0.056,0.107,9.6,112,5.04
-10,N22,no,D,control,D_control,D_control_-10,17.39646299,0.035,0.063,11.2,140,6.16
-10,N23,no,D,control,D_control,D_control_-10,23.17814765,0.067,0.146,7.8,75,3.56
-10,N24,no,D,control,D_control,D_control_-10,48.43105584,0.141,0.327,7.7,69,3.32
-10,N25,no,D,control,D_control,D_control_-10,50.82960747,0.15,0.395,7.6,58,2.88
-10,N26,no,D,control,D_control,D_control_-10,48.13041918,0.142,0.39,7.6,55,2.76
-10,N27,no,D,control,D_control,D_control_-10,40.87216885,0.092,0.269,10,71,3.4
-10,N28,no,D,control,D_control,D_control_-10,32.70993094,0.084,0.176,8.7,90,4.16
-10,N29,no,D,control,D_control,D_control_-10,11.13727609,0.023,0.056,10.8,98,4.48
-10,N30,no,D,control,D_control,D_control_-10,40.11464589,0.112,0.312,8,58,2.88
-10,N31,no,D,control,D_control,D_control_-10,16.94185127,0.042,0.114,9,69,3.32
-10,N32,no,D,control,D_control,D_control_-10,39.50886836,0.103,0.184,8.6,106,4.8
-10,N33,no,D,control,D_control,D_control_-10,50.67135331,0.127,0.281,8.9,87,4.04
-10,N34,no,D,control,D_control,D_control_-10,15.10872327,0.042,0.108,8,64,3.12
-10,N35,no,D,control,D_control,D_control_-10,10.54765993,0.025,0.063,9.6,80,3.76
-10,N36,no,D,control,D_control,D_control_-10,7.89122466,0.022,0.055,7.9,66,3.2
-10,N37,no,D,control,D_control,D_control_-10,17.70935357,0.036,0.118,11,70,3.36
-10,N38,no,D,control,D_control,D_control_-10,7.754349908,0.022,0.056,7.9,63,3.08
-10,N39,no,D,control,D_control,D_control_-10,12.29241736,0.033,0.094,8.4,59,2.92
-10,N40,no,D,control,D_control,D_control_-10,12.88603551,0.029,0.078,9.8,78,3.68
-10,R01,no,T,control,T_control,T_control_-10,10.65842315,0.027,0.067,8.9,115,3.54
-10,R02,no,T,control,T_control,T_control_-10,7.411918152,0.024,0.081,6.8,55,2.05
-10,R03,no,T,control,T_control,T_control_-10,5.537360913,0.015,0.049,8.4,65,2.54
-10,R04,no,T,control,T_control,T_control_-10,68.51430545,0.189,0.451,8.1,71,3.4
-10,R05,no,T,control,T_control,T_control_-10,43.76949569,0.121,0.276,8.1,83,3.55
-10,R06,no,T,control,T_control,T_control_-10,46.70093047,0.123,0.331,8.5,86,3.16
-10,R07,no,T,control,T_control,T_control_-10,45.77216063,0.115,0.205,8.9,111,5
-10,R08,no,T,control,T_control,T_control_-10,62.60473086,0.169,0.43,8.3,90,3.26
-10,R09,no,T,control,T_control,T_control_-10,30.77968353,0.104,0.369,6.6,44,1.87
-10,R10,no,T,control,T_control,T_control_-10,7.177172549,0.018,0.053,8.9,105,3.04
-10,R11,no,T,control,T_control,T_control_-10,61.59080838,0.137,0.208,10.1,152,6.64
-10,R12,no,T,control,T_control,T_control_-10,57.79735628,0.158,0.407,8.2,75,3.18
-10,R13,no,T,control,T_control,T_control_-10,8.859872646,0.02,0.042,9.8,121,4.78
-10,R14,no,T,control,T_control,T_control_-10,11.78990181,0.033,0.085,8.1,64,3.12
-10,R15,no,T,control,T_control,T_control_-10,44.87681838,0.095,0.167,10.6,136,6
-10,R16,no,T,control,T_control,T_control_-10,6.304410276,0.015,0.023,9.2,155,6.25
-10,R17,no,T,control,T_control,T_control_-10,66.12321298,0.168,0.443,8.8,95,3.34
-10,R18,no,T,control,T_control,T_control_-10,15.48703068,0.048,0.173,7.3,55,2
-10,R19,no,T,control,T_control,T_control_-10,14.90151609,0.042,0.125,8,84,2.66
-10,R20,no,T,control,T_control,T_control_-10,14.95167394,0.039,0.076,8.6,96,4.4
-10,R21,no,T,control,T_control,T_control_-10,1.916371351,0.005,0.008,9.2,124,5.52
-10,R22,no,T,control,T_control,T_control_-10,29.03075411,0.078,0.126,8.3,115,5.16
-10,R23,no,T,control,T_control,T_control_-10,4.622210959,0.012,0.035,8.3,98,2.94
-10,R24,no,T,control,T_control,T_control_-10,20.96099812,0.057,0.111,8.3,92,4.24
-10,R25,no,T,control,T_control,T_control_-10,30.46859503,0.083,0.21,8.2,80,3.25
-10,R26,no,T,control,T_control,T_control_-10,26.53475185,0.068,0.179,8.7,89,3.32
-10,R27,no,T,control,T_control,T_control_-10,21.13697428,0.058,0.162,8.1,107,2.92
-10,R28,no,T,control,T_control,T_control_-10,6.010677703,0.016,0.054,8.4,75,2.48
-10,R29,no,T,control,T_control,T_control_-10,11.26365929,0.034,0.107,7.5,61,2.35
-10,R30,no,T,control,T_control,T_control_-10,12.95794236,0.038,0.116,7.6,76,2.5
-10,R31,no,T,control,T_control,T_control_-10,37.20516335,0.11,0.238,7.6,79,3.5
-10,R32,no,T,control,T_control,T_control_-10,15.89927613,0.047,0.102,7.6,73,3.48
-10,R33,no,T,control,T_control,T_control_-10,1.904619577,0.005,0.011,8.2,96,3.94
-10,R34,no,T,control,T_control,T_control_-10,23.90322361,0.064,0.151,8.3,66,3.54
-10,R35,no,T,control,T_control,T_control_-10,43.01764393,0.102,0.301,9.4,104,3.2
-10,R36,no,T,control,T_control,T_control_-10,22.25933231,0.06,0.151,8.3,99,3.29
-10,R37,no,T,control,T_control,T_control_-10,13.82303451,0.044,0.115,7.1,74,2.7
-10,R38,no,T,control,T_control,T_control_-10,38.45342635,0.084,0.241,10.2,105,3.58
-10,R39,no,T,control,T_control,T_control_-10,60.74854272,0.14,0.333,9.7,120,4.09
-10,R40,no,T,control,T_control,T_control_-10,17.14414769,0.049,0.168,7.8,101,2.29
-10,T13,no,T,control,T_control,T_control_-10,19.99777961,0.052,0.115,8.6,80,3.89
10,T13,no,T,control,T_control,T_control_10,13.97835488,0.036,0.08,8.6,80,3.89
-10,T14,no,T,control,T_control,T_control_-10,5.353264325,0.014,0.036,8.3,69,3.37
10,T14,no,T,control,T_control,T_control_10,17.14823481,0.046,0.114,8.3,69,3.37
-10,T15,no,T,control,T_control,T_control_-10,44.37959665,0.123,0.276,8.1,76,3.6
10,T15,no,T,control,T_control,T_control_10,41.97365657,0.116,0.261,8.1,76,3.6
-10,T16,no,T,control,T_control,T_control_-10,17.27247265,0.048,0.084,8,59,4.58
-10,T17,no,T,control,T_control,T_control_-10,15.59649171,0.045,0.147,7.8,48,2.38
10,T17,no,T,control,T_control,T_control_10,9.736076226,0.028,0.092,7.8,48,2.38
-10,T18,no,T,control,T_control,T_control_-10,16.69858556,0.051,0.123,7.4,62,3.04
-10,T19,no,T,control,T_control,T_control_-10,58.4508699,0.127,0.191,10.3,140,6.84
10,T19,no,T,control,T_control,T_control_10,6.480565877,0.014,0.021,10.3,140,6.84
-10,T20,no,T,control,T_control,T_control_-10,12.37112961,0.028,0.051,9.9,121,5.4
10,T20,no,T,control,T_control,T_control_10,14.12607744,0.032,0.059,9.9,121,5.4
-10,T21,no,T,control,T_control,T_control_-10,10.97732956,0.031,0.054,7.9,75,4.59
10,T21,no,T,control,T_control,T_control_10,56.81252408,0.161,0.277,7.9,75,4.59
-10,T22,no,T,control,T_control,T_control_-10,67.48716138,0.174,0.294,8.7,112,5.14
10,T22,no,T,control,T_control,T_control_10,23.55678622,0.061,0.103,8.7,112,5.14
-10,T23,no,T,control,T_control,T_control_-10,59.47579568,0.142,0.246,9.4,124,5.42
10,T23,no,T,control,T_control,T_control_10,10.38936314,0.025,0.043,9.4,124,5.42
-10,T24,no,T,control,T_control,T_control_-10,36.06703393,0.102,0.151,7.9,120,5.36
10,T24,no,T,control,T_control,T_control_10,8.876720171,0.025,0.037,7.9,120,5.36
-10,T25,no,T,control,T_control,T_control_-10,15.25951918,0.04,0.109,8.6,101,3.14
10,T25,no,T,control,T_control,T_control_10,17.68708693,0.046,0.126,8.6,101,3.14
-10,T26,no,T,control,T_control,T_control_-10,41.46672069,0.097,0.189,9.6,81,4.92
10,T26,no,T,control,T_control,T_control_10,16.88014884,0.039,0.077,9.6,81,4.92
-10,T27,no,T,control,T_control,T_control_-10,53.41824995,0.125,0.187,9.6,146,6.4
10,T27,no,T,control,T_control,T_control_10,13.20881309,0.031,0.046,9.6,146,6.4
-10,T28,no,T,control,T_control,T_control_-10,22.43516372,0.052,0.131,9.6,125,3.84
10,T28,no,T,control,T_control,T_control_10,10.33915593,0.024,0.06,9.6,125,3.84
-10,T29,no,T,control,T_control,T_control_-10,70.15732183,0.157,0.239,10,150,6.56
-10,T30,no,T,control,T_control,T_control_-10,16.70447848,0.046,0.087,8.1,93,4.32
-10,T31,no,T,control,T_control,T_control_-10,42.47149706,0.119,0.206,8,95,4.62
10,T31,no,T,control,T_control,T_control_10,10.34964025,0.029,0.05,8,95,4.62
-10,T32,no,T,control,T_control,T_control_-10,142.2130503,0.339,0.581,9.4,114,5.48
10,T32,no,T,control,T_control,T_control_10,16.71753929,0.04,0.068,9.4,114,5.48
-10,T33,no,T,control,T_control,T_control_-10,45.46986369,0.114,0.224,8.9,78,4.54
10,T33,no,T,control,T_control,T_control_10,8.609490404,0.022,0.042,8.9,78,4.54
-10,T34,no,T,control,T_control,T_control_-10,9.942901858,0.024,0.038,9.4,95,5.8
10,T34,no,T,control,T_control,T_control_10,24.99579975,0.06,0.096,9.4,95,5.8
-10,T35,no,T,control,T_control,T_control_-10,11.41350957,0.033,0.081,7.7,65,3.16
10,T35,no,T,control,T_control,T_control_10,13.09477536,0.038,0.093,7.7,65,3.16
-10,T36,no,T,control,T_control,T_control_-10,29.6725734,0.089,0.291,7.5,43,2.28
10,T36,no,T,control,T_control,T_control_10,22.72789322,0.068,0.223,7.5,43,2.28
-10,T37,no,T,control,T_control,T_control_-10,3.143709244,0.008,0.015,8.4,103,4.68
-10,T38,no,T,control,T_control,T_control_-10,47.47716968,0.15,0.38,7.1,56,2.8
-10,T39,no,T,control,T_control,T_control_-10,19.6900299,0.054,0.17,8.1,65,2.6
10,T39,no,T,control,T_control,T_control_10,13.90474113,0.038,0.12,8.1,65,2.6
-10,T40,no,T,control,T_control,T_control_-10,47.57180095,0.144,0.266,7.4,68,4
10,T40,no,T,control,T_control,T_control_10,11.50313757,0.035,0.064,7.4,68,4
-10,T41,no,T,control,T_control,T_control_-10,70.88830183,0.165,0.308,9.6,115,5.16
-10,T42,no,T,control,T_control,T_control_-10,46.74835639,0.109,0.237,9.6,103,4.41
10,T42,no,T,control,T_control,T_control_10,8.225132948,0.019,0.042,9.6,103,4.41
-10,T43,no,T,control,T_control,T_control_-10,40.14062539,0.108,0.361,8.3,86,2.49
10,T43,no,T,control,T_control,T_control_10,12.6362466,0.034,0.114,8.3,86,2.49
-10,T44,no,T,control,T_control,T_control_-10,79.4598575,0.169,0.445,10.5,135,4
10,T44,no,T,control,T_control,T_control_10,8.551487008,0.018,0.048,10.5,135,4
-10,T45,no,T,control,T_control,T_control_-10,29.17528623,0.084,0.272,7.8,50,2.4
10,T45,no,T,control,T_control,T_control_10,38.89930036,0.112,0.363,7.8,50,2.4
-10,T46,no,T,control,T_control,T_control_-10,41.553494,0.113,0.267,8.2,92,3.49
10,T46,no,T,control,T_control,T_control_10,17.00100038,0.046,0.109,8.2,92,3.49
-10,T47,no,T,control,T_control,T_control_-10,20.10820029,0.06,0.107,7.5,70,4.21
10,T47,no,T,control,T_control,T_control_10,25.1354489,0.075,0.134,7.5,70,4.21
-10,T48,no,T,control,T_control,T_control_-10,16.51779856,0.052,0.094,7.1,69,3.95
10,T48,no,T,control,T_control,T_control_10,20.8829678,0.066,0.118,7.1,69,3.95
-10,T49,no,T,control,T_control,T_control_-10,13.49808255,0.041,0.067,7.4,114,4.53
10,T49,no,T,control,T_control,T_control_10,5.738679488,0.017,0.028,7.4,114,4.53
-10,T50,no,T,control,T_control,T_control_-10,12.29581501,0.037,0.096,7.4,58,2.88
-10,T51,no,T,control,T_control,T_control_-10,13.68932601,0.041,0.071,7.4,67,4.33
10,T51,no,T,control,T_control,T_control_10,15.24555514,0.046,0.079,7.4,67,4.33
-10,T52,no,T,control,T_control,T_control_-10,8.712882339,0.023,0.046,8.5,92,4.24
-10,T53,no,T,control,T_control,T_control_-10,30.89555606,0.096,0.183,7.2,66,3.79
10,T53,no,T,control,T_control,T_control_10,22.43728454,0.07,0.133,7.2,66,3.79
-10,M01,no,D,desiccation,D_desiccation,D_desiccation_-10,14.18840449,0.043,0.14,7.4,64,2.27
1,M01,no,D,desiccation,D_desiccation,D_desiccation_1,77.22509461,0.234,0.762,7.4,64,2.27
2,M01,no,D,desiccation,D_desiccation,D_desiccation_2,74.66022719,0.226,0.736,7.4,64,2.27
6,M01,no,D,desiccation,D_desiccation,D_desiccation_6,70.76219568,0.214,0.698,7.4,64,2.27
10,M01,no,D,desiccation,D_desiccation,D_desiccation_10,8.151778863,0.025,0.08,7.4,64,2.27
-10,M02,no,D,desiccation,D_desiccation,D_desiccation_-10,27.30267076,0.073,0.265,8.4,77,2.31
1,M02,no,D,desiccation,D_desiccation,D_desiccation_1,23.12796792,0.062,0.224,8.4,77,2.31
2,M02,no,D,desiccation,D_desiccation,D_desiccation_2,138.7085866,0.37,1.345,8.4,77,2.31
6,M02,no,D,desiccation,D_desiccation,D_desiccation_6,22.9099039,0.061,0.222,8.4,77,2.31
10,M02,no,D,desiccation,D_desiccation,D_desiccation_10,7.842014094,0.021,0.076,8.4,77,2.31
-10,M03,no,D,desiccation,D_desiccation,D_desiccation_-10,53.02270106,0.126,0.622,9.4,93,1.91
1,M03,no,D,desiccation,D_desiccation,D_desiccation_1,75.57911684,0.18,0.886,9.4,93,1.91
2,M03,no,D,desiccation,D_desiccation,D_desiccation_2,94.79177633,0.226,1.111,9.4,93,1.91
6,M03,no,D,desiccation,D_desiccation,D_desiccation_6,80.53467422,0.192,0.944,9.4,93,1.91
10,M03,no,D,desiccation,D_desiccation,D_desiccation_10,44.83148682,0.107,0.526,9.4,93,1.91
-10,M04,no,D,desiccation,D_desiccation,D_desiccation_-10,20.58101689,0.049,0.201,9.4,65,2.29
1,M04,no,D,desiccation,D_desiccation,D_desiccation_1,78.85535163,0.188,0.771,9.4,65,2.29
2,M04,no,D,desiccation,D_desiccation,D_desiccation_2,110.8272109,0.264,1.084,9.4,65,2.29
6,M04,no,D,desiccation,D_desiccation,D_desiccation_6,71.48484288,0.17,0.699,9.4,65,2.29
10,M04,no,D,desiccation,D_desiccation,D_desiccation_10,66.32635318,0.158,0.649,9.4,65,2.29
-10,M05,no,D,desiccation,D_desiccation,D_desiccation_-10,11.02851582,0.028,0.123,8.9,59,2
1,M05,no,D,desiccation,D_desiccation,D_desiccation_1,61.71100096,0.155,0.691,8.9,59,2
2,M05,no,D,desiccation,D_desiccation,D_desiccation_2,78.74025132,0.198,0.882,8.9,59,2
