ID,ploidy,follow,ploidy:follow,tank,day,trt,ploidy:trt,,shell_length,shell_width,shell_height,mortality,sample_date,dry_weight,shell_volume,calc_dry_weight,histology,tube_number
D79,D,no,D-no,tank_5,,control,D-control,control_D_,82,50,30,,,,64403,3.03572,,
D80,D,no,D-no,tank_5,,control,D-control,control_D_,79,48,29,,,,57579,2.76276,,
D81,D,no,D-no,tank_5,,control,D-control,control_D_,85,47,26,,,,54386,2.63504,,
D82,D,no,D-no,tank_5,,control,D-control,control_D_,79,51,31,,,,65397,3.07548,,
D83,D,no,D-no,tank_5,,control,D-control,control_D_,86,63,31,30,,,87943,3.97732,,
D84,D,no,D-no,tank_5,,control,D-control,control_D_,86,61,27,,,,74164,3.42616,,
D85,D,no,D-no,tank_5,,control,D-control,control_D_,97,55,35,,,,97769,4.37036,,
D86,D,no,D-no,tank_5,,control,D-control,control_D_,87,50,32,30,,,72885,3.375,,
D87,D,no,D-no,tank_5,,control,D-control,control_D_,83,61,26,,,,68925,3.2166,,
D88,D,no,D-no,tank_5,,control,D-control,control_D_,85,57,27,,,,68495,3.1994,,
D89,D,no,D-no,tank_5,,control,D-control,control_D_,63,57,26,,,,48886,2.41504,,
D90,D,no,D-no,tank_5,,control,D-control,control_D_,88,59,30,,,,81556,3.72184,,
M01,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,74,55,30,,,2.27,63931,3.01684,,
M02,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,84,60,29,,,2.31,76529,3.52076,,
M03,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,94,63,30,,,1.91,93023,4.18052,,
M04,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,94,51,26,,,2.29,65263,3.07012,,
M05,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,89,45,28,,,2,58716,2.80824,,
M06,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,76,60,30,,,1.68,71628,3.32472,,
M07,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,102,56,32,,,2.03,95705,4.2878,,
M08,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,89,60,31,,,2,86677,3.92668,,
M09,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,88,55,31,,,1.9,78561,3.60204,,
M10,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,93,70,31,11,,,105667,4.68628,,
M11,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,82,49,26,,,2.6,54699,2.64756,,
M12,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,89,53,27,11,,,66685,3.127,,
M13,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,97,51,27,,,1.97,69937,3.25708,,
M14,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,92,48,34,,,2.3,78615,3.6042,,
M15,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,81,48,28,,,1.86,57001,2.73964,,
M16,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,85,51,32,,,1.92,72634,3.36496,,
M17,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,86,43,29,3,,,56152,2.70568,,
M18,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,84,45,38,,,1.74,75210,3.468,,
M19,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,97,63,38,,,2.21,121589,5.32316,,
M20,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,91,49,30,,,1.86,70042,3.26128,,
M21,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,77,46,26,,,1.71,48219,2.38836,,
M22,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,96,57,25,,,2.4,71628,3.32472,,
M23,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,74,37,36,,,1.54,51610,2.524,,
M24,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,77,43,26,,,1.74,45075,2.2626,,
M25,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,72,55,29,,,1.66,60130,2.8648,,
M26,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,82,50,28,,,1.8,60109,2.86396,,
M27,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,97,56,26,,,1.84,73949,3.41756,,
M28,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,97,65,29,14,,,95737,4.28908,,
M29,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,81,49,29,,,2.47,60267,2.87028,,
M30,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,87,48,30,,,1.88,65596,3.08344,,
M31,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,69,51,27,,,1.47,49749,2.44956,,
M32,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,89,73,40,,,2.36,136073,5.90252,,
M33,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,95,57,36,,,2.06,102070,4.5424,,
M34,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,96,50,28,,,1.83,70372,3.27448,,
M35,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,74,50,27,,,1.68,52308,2.55192,,
M36,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,82,43,36,,,2.14,66464,3.11816,,
M37,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,86,48,32,,,1.76,69165,3.2262,,
M38,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,87,55,31,,,1.91,77668,3.56632,,
M39,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,95,38,25,,,1.57,47255,2.3498,,
M40,D,yes,D-yes,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,101,50,26,11,,,68749,3.20956,,
T07,T,no,T-no,tank_5,-10,baseline,T-baseline,baseline_T_-10,70,53,25,,6/23/21,,48564,2.40216,yes,
T08,T,no,T-no,tank_5,-10,baseline,T-baseline,baseline_T_-10,75,53,28,,6/23/21,,58277,2.79068,yes,
T09,T,no,T-no,tank_5,-10,baseline,T-baseline,baseline_T_-10,83,77,35,,6/23/21,,117121,5.14444,yes,
T10,T,no,T-no,tank_5,-10,baseline,T-baseline,baseline_T_-10,77,57,24,,6/23/21,,55154,2.66576,yes,
T11,T,no,T-no,tank_5,-10,baseline,T-baseline,baseline_T_-10,81,50,31,,6/23/21,,65738,3.08912,yes,
T12,T,no,T-no,tank_5,-10,baseline,T-baseline,baseline_T_-10,89,66,32,,6/23/21,,98420,4.3964,yes,
D54,D,no,D-no,tank_5,1,control,D-control,control_D_1,83,60,29,,7/12/21,,75618,3.48432,yes,
D55,D,no,D-no,tank_5,1,control,D-control,control_D_1,96,39,28,,7/12/21,,54890,2.6552,yes,
D56,D,no,D-no,tank_5,1,control,D-control,control_D_1,82,50,30,,7/12/21,,64403,3.03572,yes,
M50,D,no,D-no,MISSING,1,control,D-control,control_D_1,102,62,41,,,,135761,5.89004,,
D57,D,no,D-no,tank_5,1,control,D-control,control_D_1,87,55,27,,7/12/21,,67646,3.16544,yes,
D58,D,no,D-no,tank_5,1,control,D-control,control_D_1,81,65,23,,7/12/21,,63405,2.9958,yes,
D59,D,no,D-no,tank_5,1,control,D-control,control_D_1,79,60,32,,7/12/21,,79419,3.63636,yes,
M41,D,no,D-no,tank_2,1,heat_desiccation,D-heat_desiccation,heat_desiccation_D_1,74,59,30,,7/12/21,,68581,3.20284,yes,
M42,D,no,D-no,tank_2,1,heat_desiccation,D-heat_desiccation,heat_desiccation_D_1,78,52,31,,7/12/21,,65835,3.093,yes,
M43,D,no,D-no,tank_2,1,heat_desiccation,D-heat_desiccation,heat_desiccation_D_1,90,49,26,,7/12/21,,60036,2.86104,yes,
M44,D,no,D-no,tank_2,1,heat_desiccation,D-heat_desiccation,heat_desiccation_D_1,89,46,29,,7/12/21,,62165,2.9462,yes,
M45,D,no,D-no,tank_5,1,control,D-control,control_D_1,103,52,24,,7/12/21,,67305,3.1518,yes,
M46,D,no,D-no,tank_5,1,control,D-control,control_D_1,92,46,29,,7/12/21,,64260,3.03,yes,
M47,D,no,D-no,tank_3,1,heat_desiccation,D-heat_desiccation,heat_desiccation_D_1,82,50,27,,7/12/21,,57962,2.77808,yes,
M48,D,no,D-no,tank_5,1,control,D-control,control_D_1,84,50,36,,7/12/21,,79168,3.62632,yes,
M49,D,no,D-no,tank_5,1,control,D-control,control_D_1,81,54,30,,7/12/21,,68707,3.20788,yes,
M63,D,no,D-no,tank_5,,control,D-control,control_D_,91,56,30,,,,80048,3.66152,yes,
M64,D,no,D-no,tank_5,,control,D-control,control_D_,92,48,26,,,,60118,2.86432,,
M65,D,no,D-no,tank_5,,control,D-control,control_D_,90,55,35,,,,90713,4.08812,,
M66,D,no,D-no,tank_5,,control,D-control,control_D_,87,46,31,,,,64959,3.05796,,
M67,D,no,D-no,tank_5,,control,D-control,control_D_,69,51,30,,,,55276,2.67064,,
M68,D,no,D-no,tank_5,,control,D-control,control_D_,99,57,29,,,,85685,3.887,,
M69,D,no,D-no,tank_5,,control,D-control,control_D_,93,55,32,,,,85703,3.88772,,
M70,D,no,D-no,tank_5,,control,D-control,control_D_,109,62,42,,,,148616,6.40424,,
M71,D,no,D-no,tank_5,,control,D-control,control_D_,95,57,32,,,,90729,4.08876,,
M72,D,no,D-no,tank_5,,control,D-control,control_D_,82,62,37,,,,98493,4.39932,,
M73,D,no,D-no,tank_5,,control,D-control,control_D_,82,50,33,,,,70843,3.29332,,
M74,D,no,D-no,tank_5,,control,D-control,control_D_,97,57,32,,,,92639,4.16516,,
M75,D,no,D-no,tank_5,,control,D-control,control_D_,94,52,31,,,,79340,3.6332,,
M76,D,no,D-no,tank_5,,control,D-control,control_D_,89,38,23,,,,40729,2.08876,,
M77,D,no,D-no,tank_5,,control,D-control,control_D_,91,57,25,,,,67898,3.17552,,
M78,D,no,D-no,tank_5,,control,D-control,control_D_,90,64,33,,,,99526,4.44064,,
M79,D,no,D-no,tank_5,,control,D-control,control_D_,86,45,27,30,,,54711,2.64804,,
M80,D,no,D-no,tank_5,,control,D-control,control_D_,103,49,31,,,,81921,3.73644,,
M81,D,no,D-no,tank_5,,control,D-control,control_D_,72,48,27,,,,48858,2.41392,,
M82,D,no,D-no,tank_5,,control,D-control,control_D_,99,50,36,,,,93305,4.1918,,
M83,D,no,D-no,tank_5,,control,D-control,control_D_,72,55,36,30,,,74644,3.44536,,
M84,D,no,D-no,tank_5,,control,D-control,control_D_,91,50,40,,,,95295,4.2714,,
M85,D,no,D-no,tank_5,,control,D-control,control_D_,92,56,39,,,,105206,4.66784,,
M86,D,no,D-no,tank_5,,control,D-control,control_D_,86,50,21,,,,47281,2.35084,,
M87,D,no,D-no,tank_5,,control,D-control,control_D_,85,61,30,,,,81446,3.71744,,
M88,D,no,D-no,tank_5,,control,D-control,control_D_,75,59,32,,,,74142,3.42528,,
M89,D,no,D-no,tank_5,1,control,D-control,control_D_1,82,47,29,,7/12/21,,58521,2.80044,yes,
M90,D,no,D-no,tank_5,1,control,D-control,control_D_1,87,57,33,,7/12/21,,85685,3.887,yes,
N01,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,86,46,29,,,,60069,2.86236,,
N02,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,81,59,36,,,,90082,4.06288,,
N03,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,86,58,35,,,,91410,4.116,,
N04,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,66,53,27,,,,49452,2.43768,,
N05,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,86,62,34,,,,94922,4.25648,,
N06,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,94,58,35,,,,99913,4.45612,,
N07,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,92,52,31,,,,77652,3.56568,,
N08,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,79,54,27,,,,60309,2.87196,,
N09,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,87,54,31,,,,76256,3.50984,,
N10,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,92,54,30,,,,78037,3.58108,,
N11,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,81,59,31,,,,77571,3.56244,,
N12,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,77,50,24,30,,,48381,2.39484,,
N13,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,96,56,24,3,,,67557,3.16188,,
N14,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,94,56,34,,,,93712,4.20808,,
N15,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,83,47,26,3,,,53107,2.58388,,
N16,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,88,42,24,,,,46445,2.3174,,
N17,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,87,47,35,,,,74935,3.457,,
N18,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,72,49,24,3,,,44334,2.23296,,
N19,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,110,56,35,,,,112888,4.97512,,
N20,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,83,50,32,,,,69534,3.24096,,
N21,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,96,57,39,,,,111740,4.9292,,
N22,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,112,63,38,,,,140391,6.07524,,
N23,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,78,56,33,,,,75474,3.47856,,
N24,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,77,66,26,,,,69184,3.22696,,
N25,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,76,56,26,7,,,57939,2.77716,,
N26,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,76,46,30,,,,54915,2.6562,,
N27,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,100,54,25,,,,70686,3.28704,,
N28,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,87,58,34,,,,89831,4.05284,,
N29,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,108,58,30,,,,98395,4.3954,,
N30,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,80,53,26,,,,57722,2.76848,,
N31,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,90,52,28,,,,68612,3.20408,,
N32,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,86,62,38,,,,106089,4.70316,,
N33,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,89,60,31,,,,86677,3.92668,,
N34,D,base,D-base,tank_2,,heat_desiccation,D-heat_desiccation,heat_desiccation_D_,80,49,31,,,,63628,3.00472,,
N41,D,no,D-no,tank_2,1,heat_desiccation,D-heat_desiccation,heat_desiccation_D_1,95,53,27,,7/12/21,,71181,3.30684,yes,
N42,D,no,D-no,tank_2,1,heat_desiccation,D-heat_desiccation,heat_desiccation_D_1,85,61,33,,7/12/21,,89590,4.0432,yes,
N43,D,no,D-no,tank_2,1,heat_desiccation,D-heat_desiccation,heat_desiccation_D_1,93,48,27,,7/12/21,,63108,2.98392,yes,
N44,D,no,D-no,tank_2,1,heat_desiccation,D-heat_desiccation,heat_desiccation_D_1,91,50,32,,7/12/21,,76236,3.50904,yes,
N45,D,no,D-no,tank_2,1,heat_desiccation,D-heat_desiccation,heat_desiccation_D_1,92,49,30,,7/12/21,,70811,3.29204,yes,
N46,D,no,D-no,tank_2,1,heat_desiccation,D-heat_desiccation,heat_desiccation_D_1,93,55,30,,7/12/21,,80346,3.67344,yes,
N47,D,no,D-no,tank_2,1,heat_desiccation,D-heat_desiccation,heat_desiccation_D_1,99,56,32,,7/12/21,,92891,4.17524,yes,
R41,T,no,T-no,tank_3,1,heat_desiccation,T-heat_desiccation,heat_desiccation_T_1,89,59,31,,7/12/21,,85232,3.86888,yes,
R42,T,no,T-no,tank_3,1,heat_desiccation,T-heat_desiccation,heat_desiccation_T_1,90,71,41,,7/12/21,,137178,5.94672,yes,
R43,T,no,T-no,tank_3,1,heat_desiccation,T-heat_desiccation,heat_desiccation_T_1,79,51,26,,7/12/21,,54849,2.65356,yes,
R46,T,no,T-no,tank_3,1,heat_desiccation,T-heat_desiccation,heat_desiccation_T_1,73,53,25,,7/12/21,,50645,2.4854,yes,
R47,T,no,T-no,tank_3,1,heat_desiccation,T-heat_desiccation,heat_desiccation_T_1,87,56,32,,7/12/21,,81631,3.72484,yes,
R48,T,no,T-no,tank_3,1,heat_desiccation,T-heat_desiccation,heat_desiccation_T_1,96,74,36,,7/12/21,,133907,5.81588,yes,
N48,D,no,D-no,tank_2,2,heat_desiccation,D-heat_desiccation,heat_desiccation_D_2,77,56,34,,missing,,76764,3.53016,,
R50,T,no,T-no,tank_3,1,heat_desiccation,T-heat_desiccation,heat_desiccation_T_1,73,47,26,,7/12/21,,46708,2.32792,yes,
R78,T,no,T-no,tank_3,1,heat_desiccation,T-heat_desiccation,heat_desiccation_T_1,78,55,33,,7/12/21,,74126,3.42464,yes,
T55,T,no,T-no,tank_6,1,control,T-control,control_T_1,79,51,26,,7/12/21,,54849,2.65356,yes,
