Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),
1,3,E05,M,00:10:24.25,0.139,
1,3,E06,M,00:10:25.14,0.133,
1,3,E07,M,00:10:26.03,0.216,
1,3,E08,M,00:10:26.91,0.204,
1,3,E09,M,00:10:27.80,0.207,
1,3,E10,M,00:10:28.69,0.250,
1,3,E11,M,00:10:29.58,0.246,
1,3,E12,M,00:10:30.47,0.236,
1,3,F01,M,00:10:33.80,0.170,
1,3,F02,M,00:10:34.69,0.156,
1,3,F03,M,00:10:35.58,0.155,
1,3,F04,M,00:10:36.47,0.460,
1,3,F05,M,00:10:37.36,0.458,
1,3,F06,M,00:10:38.25,0.434,
1,3,F07,M,00:10:39.14,0.186,
1,3,F08,M,00:10:40.03,0.157,
1,3,F09,M,00:10:40.91,0.167,
1,3,F10,M,00:10:41.80,0.734,
1,3,F11,M,00:10:42.69,0.868,
1,3,F12,M,00:10:43.58,0.671,
1,3,G01,M,00:10:46.92,0.226,
1,3,G02,M,00:10:47.80,0.210,
1,3,G03,M,00:10:48.69,0.210,
1,3,G04,M,00:10:49.58,0.083,
1,3,G05,M,00:10:50.47,0.084,
1,3,G06,M,00:10:51.36,0.085,
1,3,G07,M,00:10:52.25,0.130,
1,3,G08,M,00:10:53.14,0.103,
1,3,G09,M,00:10:54.03,0.198,
1,4,A01,M,00:14:03.18,0.074,
1,4,A02,M,00:14:04.08,0.076,
1,4,A03,M,00:14:04.97,0.093,
1,4,A04,M,00:14:05.85,0.131,
1,4,A05,M,00:14:06.74,0.205,
1,4,A06,M,00:14:07.63,0.297,
1,4,A07,M,00:14:08.52,0.156,
1,4,A08,M,00:14:09.41,0.165,
1,4,A09,M,00:14:10.30,0.151,
1,4,A10,M,00:14:11.19,0.167,
1,4,A11,M,00:14:12.08,0.175,
1,4,A12,M,00:14:12.97,0.168,
1,4,B01,M,00:14:16.30,0.168,
1,4,B02,M,00:14:17.19,0.182,
1,4,B03,M,00:14:18.08,0.170,
1,4,B04,M,00:14:18.97,0.157,
1,4,B05,M,00:14:19.85,0.169,
1,4,B06,M,00:14:20.74,0.157,
1,4,B07,M,00:14:21.63,0.159,
1,4,B08,M,00:14:22.52,0.188,
1,4,B09,M,00:14:23.41,0.095,
1,4,B10,M,00:14:24.30,0.226,
1,4,B11,M,00:14:25.19,0.205,
1,4,B12,M,00:14:26.08,0.207,
1,4,C01,M,00:14:29.41,0.224,
1,4,C02,M,00:14:30.30,0.219,
1,4,C03,M,00:14:31.19,0.221,
1,4,C04,M,00:14:32.08,0.426,
1,4,C05,M,00:14:32.97,0.404,
1,4,C06,M,00:14:33.85,0.432,
1,4,C07,M,00:14:34.74,0.161,
1,4,C08,M,00:14:35.63,0.146,
1,4,C09,M,00:14:36.52,0.161,
1,4,C10,M,00:14:37.41,0.229,
1,4,C11,M,00:14:38.30,0.233,
1,4,C12,M,00:14:39.19,0.238,
1,4,D01,M,00:14:42.52,0.302,
1,4,D02,M,00:14:43.41,0.322,
1,4,D03,M,00:14:44.30,0.298,
1,4,D04,M,00:14:45.19,0.214,
1,4,D05,M,00:14:46.08,0.173,
1,4,D06,M,00:14:46.97,0.185,
1,4,D07,M,00:14:47.85,0.141,
1,4,D08,M,00:14:48.74,0.156,
1,4,D09,M,00:14:49.63,0.146,
1,4,D10,M,00:14:50.52,0.182,
1,4,D11,M,00:14:51.41,0.191,
1,4,D12,M,00:14:52.30,0.179,
1,4,E01,M,00:14:55.63,0.379,
1,4,E02,M,00:14:56.52,0.343,
1,4,E03,M,00:14:57.41,0.344,
1,4,E04,M,00:14:58.30,0.125,
1,4,E05,M,00:14:59.19,0.138,
1,4,E06,M,00:15:00.08,0.135,
1,4,E07,M,00:15:00.97,0.217,
1,4,E08,M,00:15:01.85,0.206,
1,4,E09,M,00:15:02.74,0.209,
1,4,E10,M,00:15:03.63,0.252,
1,4,E11,M,00:15:04.52,0.248,
1,4,E12,M,00:15:05.41,0.237,
1,4,F01,M,00:15:08.74,0.179,
1,4,F02,M,00:15:09.63,0.157,
1,4,F03,M,00:15:10.52,0.158,
1,4,F04,M,00:15:11.41,0.459,
1,4,F05,M,00:15:12.30,0.457,
1,4,F06,M,00:15:13.19,0.431,
1,4,F07,M,00:15:14.08,0.190,
1,4,F08,M,00:15:14.96,0.158,
1,4,F09,M,00:15:15.85,0.169,
1,4,F10,M,00:15:16.74,0.715,
1,4,F11,M,00:15:17.63,0.801,
1,4,F12,M,00:15:18.52,0.670,
1,4,G01,M,00:15:21.85,0.229,
1,4,G02,M,00:15:22.74,0.213,
1,4,G03,M,00:15:23.63,0.213,
1,4,G04,M,00:15:24.52,0.084,
1,4,G05,M,00:15:25.41,0.086,
1,4,G06,M,00:15:26.30,0.086,
1,4,G07,M,00:15:27.19,0.122,
1,4,G08,M,00:15:28.08,0.100,
1,4,G09,M,00:15:28.96,0.192,
1,5,A01,M,00:18:38.06,0.074,
1,5,A02,M,00:18:38.96,0.076,
1,5,A03,M,00:18:39.85,0.088,
1,5,A04,M,00:18:40.74,0.119,
1,5,A05,M,00:18:41.63,0.186,
1,5,A06,M,00:18:42.52,0.272,
1,5,A07,M,00:18:43.41,0.158,
1,5,A08,M,00:18:44.30,0.161,
1,5,A09,M,00:18:45.18,0.154,
1,5,A10,M,00:18:46.07,0.172,
1,5,A11,M,00:18:46.96,0.177,
1,5,A12,M,00:18:47.85,0.170,
1,5,B01,M,00:18:51.19,0.170,
1,5,B02,M,00:18:52.07,0.184,
1,5,B03,M,00:18:52.96,0.171,
1,5,B04,M,00:18:53.85,0.160,
1,5,B05,M,00:18:54.74,0.165,
1,5,B06,M,00:18:55.63,0.160,
1,5,B07,M,00:18:56.52,0.160,
1,5,B08,M,00:18:57.41,0.193,
1,5,B09,M,00:18:58.29,0.094,
1,5,B10,M,00:18:59.18,0.230,
1,5,B11,M,00:19:00.07,0.206,
1,5,B12,M,00:19:00.96,0.208,
1,5,C01,M,00:19:04.30,0.227,
1,5,C02,M,00:19:05.18,0.221,
1,5,C03,M,00:19:06.07,0.223,
1,5,C04,M,00:19:06.96,0.424,
1,5,C05,M,00:19:07.85,0.405,
1,5,C06,M,00:19:08.74,0.431,
1,5,C07,M,00:19:09.63,0.164,
1,5,C08,M,00:19:10.52,0.148,
1,5,C09,M,00:19:11.41,0.164,
1,5,C10,M,00:19:12.29,0.230,
1,5,C11,M,00:19:13.18,0.234,
1,5,C12,M,00:19:14.07,0.232,
1,5,D01,M,00:19:17.41,0.302,
1,5,D02,M,00:19:18.29,0.329,
1,5,D03,M,00:19:19.18,0.298,
1,5,D04,M,00:19:20.07,0.218,
1,5,D05,M,00:19:20.96,0.174,
1,5,D06,M,00:19:21.85,0.186,
1,5,D07,M,00:19:22.74,0.143,
1,5,D08,M,00:19:23.63,0.158,
1,5,D09,M,00:19:24.52,0.147,
1,5,D10,M,00:19:25.41,0.183,
1,5,D11,M,00:19:26.29,0.192,
1,5,D12,M,00:19:27.18,0.181,
1,5,E01,M,00:19:30.52,0.380,
1,5,E02,M,00:19:31.41,0.344,
1,5,E03,M,00:19:32.29,0.343,
1,5,E04,M,00:19:33.18,0.126,
1,5,E05,M,00:19:34.07,0.141,
1,5,E06,M,00:19:34.96,0.138,
1,5,E07,M,00:19:35.85,0.220,
1,5,E08,M,00:19:36.74,0.206,
1,5,E09,M,00:19:37.63,0.210,
1,5,E10,M,00:19:38.52,0.253,
1,5,E11,M,00:19:39.41,0.248,
1,5,E12,M,00:19:40.29,0.240,
1,5,F01,M,00:19:43.63,0.183,
1,5,F02,M,00:19:44.52,0.160,
1,5,F03,M,00:19:45.40,0.160,
1,5,F04,M,00:19:46.29,0.458,
1,5,F05,M,00:19:47.18,0.458,
1,5,F06,M,00:19:48.07,0.430,
1,5,F07,M,00:19:48.96,0.196,
1,5,F08,M,00:19:49.85,0.160,
1,5,F09,M,00:19:50.74,0.170,
1,5,F10,M,00:19:51.63,0.719,
1,5,F11,M,00:19:52.52,0.869,
1,5,F12,M,00:19:53.41,0.671,
1,5,G01,M,00:19:56.74,0.232,
