"Gene.secondaryIdentifier","Gene.symbol","Gene.primaryIdentifier","Gene.organism.name","Gene.goAnnotation.ontologyTerm.identifier","Gene.goAnnotation.ontologyTerm.name","Gene.goAnnotation.ontologyTerm.parents.identifier","Gene.goAnnotation.ontologyTerm.parents.name"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:1901576","organic substance biosynthetic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:1901605","alpha-amino acid metabolic process"
"","LOC105331115","105331115","Crassostrea gigas","GO:0055129","L-proline biosynthetic process","GO:1901607","alpha-amino acid biosynthetic process"
"","LOC105339247","105339247","Crassostrea gigas","GO:0019318","hexose metabolic process","GO:0005975","carbohydrate metabolic process"
"","LOC105339247","105339247","Crassostrea gigas","GO:0019318","hexose metabolic process","GO:0005996","monosaccharide metabolic process"
"","LOC105339247","105339247","Crassostrea gigas","GO:0019318","hexose metabolic process","GO:0008152","metabolic process"
"","LOC105339247","105339247","Crassostrea gigas","GO:0019318","hexose metabolic process","GO:0019318","hexose metabolic process"
"","LOC105339247","105339247","Crassostrea gigas","GO:0019318","hexose metabolic process","GO:0044238","primary metabolic process"
"","LOC105339247","105339247","Crassostrea gigas","GO:0019318","hexose metabolic process","GO:0044281","small molecule metabolic process"
"","LOC105339247","105339247","Crassostrea gigas","GO:0019318","hexose metabolic process","GO:0071704","organic substance metabolic process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0006464","cellular protein modification process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0006807","nitrogen compound metabolic process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0008152","metabolic process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0009987","cellular process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0016567","protein ubiquitination"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0019538","protein metabolic process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0032446","protein modification by small protein conjugation"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0036211","protein modification process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0043170","macromolecule metabolic process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0043412","macromolecule modification"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0044237","cellular metabolic process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0044238","primary metabolic process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0044260","cellular macromolecule metabolic process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0044267","cellular protein metabolic process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0070647","protein modification by small protein conjugation or removal"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:0071704","organic substance metabolic process"
"","LOC105342525","105342525","Crassostrea gigas","GO:0004842","ubiquitin-protein transferase activity","GO:1901564","organonitrogen compound metabolic process"
"","LOC105345989","105345989","Crassostrea gigas","GO:0006457","protein folding","GO:0006457","protein folding"
"","LOC105345989","105345989","Crassostrea gigas","GO:0006457","protein folding","GO:0009987","cellular process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0006355","regulation of transcription, DNA-templated"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0009889","regulation of biosynthetic process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0010468","regulation of gene expression"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0010556","regulation of macromolecule biosynthetic process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0019219","regulation of nucleobase-containing compound metabolic process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0019222","regulation of metabolic process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0031323","regulation of cellular metabolic process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0031326","regulation of cellular biosynthetic process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0050789","regulation of biological process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0050794","regulation of cellular process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0051171","regulation of nitrogen compound metabolic process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0051252","regulation of RNA metabolic process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0060255","regulation of macromolecule metabolic process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0065007","biological regulation"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:0080090","regulation of primary metabolic process"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:1903506","regulation of nucleic acid-templated transcription"
"","LOC105347143","105347143","Crassostrea gigas","GO:0003700","DNA-binding transcription factor activity","GO:2001141","regulation of RNA biosynthetic process"
