gene	padj	log2FoldChange	description
LOC105346426	0.0101165571196795	-1.05660958978411	uncharacterized protein LOC105346426 isoform X2
LOC105340898	0.000352155998371669	-1.05565513631451	uncharacterized protein LOC105340898 isoform X1
LOC117690335	0.000726730358927489	-1.03787191847976	uncharacterized protein LOC117690335 isoform X1
LOC105342484	0.00219070740240963	-1.02937630272428	uncharacterized protein LOC105342484 isoform X3
LOC105334781	0.000268433664561184	-0.984574311086138	uncharacterized protein LOC105334781
LOC117688892	0.000883863837742269	-0.971824911876937	uncharacterized protein LOC117688892 isoform X1
LOC105344892	0.0263262548541611	-0.967054161877987	uncharacterized protein LOC105344892
LOC105317232	1.24573823189819e-07	-0.957633595131195	uncharacterized protein LOC105317232
LOC105348685	0.0129993560498295	-0.945824381981867	uncharacterized protein LOC105348685 isoform X1
LOC105331143	4.88332774697727e-05	-0.945423254003211	uncharacterized protein LOC105331143
LOC105333128	0.00211150314968887	-0.939809118071179	uncharacterized protein LOC105333128 isoform X2
LOC105337250	0.00215964905248405	-0.930846637596234	uncharacterized protein LOC105337250 isoform X1
LOC117683790	0.0116215021073061	-0.917138718815075	uncharacterized protein LOC117683790
LOC105341732	0.0166237415347659	-0.915589889331321	uncharacterized protein LOC105341732 isoform X2
LOC105329329	0.000499552144817804	-0.906896427363199	uncharacterized protein LOC105329329
LOC105337124	0.0269673821341032	-0.9047934583871	uncharacterized protein LOC105337124
LOC105348779	0.00153828381905901	-0.902530726143857	uncharacterized protein LOC105348779
LOC105344948	0.0174649234209056	-0.891296320130977	uncharacterized protein LOC105344948
LOC117690862	0.00534014079838347	-0.863443151264336	uncharacterized protein LOC117690862
LOC105321805	0.033302211088047	-0.852847975025551	uncharacterized protein LOC105321805
LOC105325497	0.0363197210902844	-0.837813991221681	uncharacterized protein LOC105325497
LOC105343207	0.0126521225327261	-0.832905814729423	uncharacterized protein LOC105343207
LOC117684726	0.0251574598150889	-0.832258395217756	uncharacterized protein LOC117684726
LOC117691218	0.0309368424013634	-0.823791953982744	uncharacterized protein LOC117691218
LOC105318918	0.00406360959397169	-0.819786175496572	uncharacterized protein LOC105318918
LOC117692182	0.0199719222153362	-0.804638065292659	uncharacterized protein LOC117692182
LOC105334598	0.0408329208377273	-0.79904456211961	uncharacterized protein LOC105334598 isoform X1
LOC117683789	0.00723000562436555	-0.795333810491846	uncharacterized protein LOC117683789 isoform X2
LOC105341149	0.0198820547618727	-0.780792237514297	uncharacterized protein LOC105341149
LOC105317586	0.0016757306350538	-0.772747893673507	uncharacterized protein LOC105317586
LOC105328626	0.0167041769826536	-0.771508785738402	uncharacterized protein LOC105328626 isoform X2
LOC105335071	0.0421102213453302	-0.76579736228452	uncharacterized protein LOC105335071
LOC105349028	0.0267788069846971	-0.764242345971643	uncharacterized protein LOC105349028
LOC105338874	0.0331106203119046	-0.752083660875174	uncharacterized protein y4mH
LOC117692594	0.00739609821257329	-0.749419857850384	uncharacterized protein LOC117692594
LOC105324671	0.000295975780105572	-0.743509948840222	uncharacterized protein LOC105324671 isoform X11
LOC117686918	0.0200711183424069	-0.739322026281953	uncharacterized protein LOC117686918
LOC105337714	0.00798242244640219	-0.727212156259166	uncharacterized protein LOC105337714
LOC105325402	0.00847890689182745	-0.725552482925494	uncharacterized protein LOC105325402
LOC105332754	0.0223555800889993	-0.716108215169194	uncharacterized protein LOC105332754
LOC105339642	3.25391428967069e-05	-0.699532720623145	uncharacterized protein LOC105339642
LOC105331863	0.00890425744666797	-0.69684897110001	uncharacterized protein LOC105331863
LOC105343995	0.0107956072224127	-0.694188893118674	uncharacterized protein LOC105343995 isoform X2
LOC105339225	0.0042109060052234	-0.691720517992599	uncharacterized protein LOC105339225 isoform X1
LOC105330019	0.0388846361983661	-0.690961244094732	uncharacterized protein LOC105330019 isoform X2
LOC105321961	0.0371985333859225	-0.683217672403626	uncharacterized protein LOC105321961 isoform X1
LOC109617543	0.0280570552785097	-0.682024080553051	uncharacterized protein LOC109617543
LOC105346545	0.0219175503675353	-0.678676069624434	uncharacterized protein LOC105346545
LOC105322022	0.00242293562426997	-0.674438393698625	uncharacterized protein LOC105322022
LOC105337111	0.0022632962425312	-0.673426509258117	uncharacterized protein LOC105337111
LOC105330219	0.0224468091472879	-0.656106260907583	uncharacterized protein LOC105330219
LOC117683787	0.0209686716167844	-0.655635649085729	uncharacterized protein LOC117683787
LOC105329729	0.0490254834531273	-0.648101337623004	uncharacterized protein LOC105329729 isoform X3
LOC105344154	0.0057248238590542	-0.646798405886645	uncharacterized protein LOC105344154
LOC105326964	0.0317032906072641	-0.644094944153241	uncharacterized protein LOC105326964 isoform X2
LOC105333281	0.0218338133333885	-0.615258477986225	uncharacterized protein LOC105333281 isoform X2
LOC105344833	0.0412161555504063	-0.610393467425452	uncharacterized protein LOC105344833 isoform X1
LOC105325616	0.000642894136636249	-0.59788696573996	uncharacterized protein LOC105325616 isoform X1
LOC105341303	0.0184684732864576	-0.596503904148603	uncharacterized protein LOC105341303 isoform X1
LOC105328402	0.0361639934532447	-0.590742465616105	uncharacterized protein LOC105328402 isoform X1
LOC105344227	0.0128777351444222	-0.582569717372532	uncharacterized protein LOC105344227
LOC117680976	0.0360154586818194	-0.57119440404063	uncharacterized protein LOC117680976
LOC117681051	0.0314834785295405	-0.569614982252967	uncharacterized protein LOC117681051
LOC105343559	0.0477960947656658	-0.567120385242876	uncharacterized protein LOC105343559
LOC105320782	0.0209686716167844	-0.559732826005914	uncharacterized protein LOC105320782
LOC117690318	0.00141081758513431	-0.551925449774923	uncharacterized protein LOC117690318
LOC105317350	0.0282826829489502	-0.548827307491603	uncharacterized protein LOC105317350 isoform X4
LOC105335121	0.0267788069846971	-0.543374680676098	uncharacterized WD repeat-containing protein alr3466 isoform X1
LOC105324756	0.0176972444089239	-0.542047561354762	uncharacterized protein LOC105324756
LOC105320158	0.0200403144403654	-0.534296353287025	uncharacterized protein LOC105320158
LOC105345703	0.000934910442782582	-0.527476648972042	uncharacterized protein LOC105345703
LOC117684934	0.0147595330297955	-0.519313045662917	uncharacterized protein LOC117684934
LOC105326054	0.00565073614029262	-0.519091534350718	uncharacterized protein LOC105326054 isoform X4
LOC105339619	0.0270988103404708	-0.509564824885153	uncharacterized protein LOC105339619 isoform X4
LOC105332626	0.0223630402283013	-0.500678428990473	uncharacterized protein LOC105332626
LOC105343255	0.0462856507107416	-0.495586310311237	uncharacterized protein LOC105343255
LOC105333082	0.0324382945527768	-0.474908822631858	uncharacterized protein LOC105333082
LOC105335949	0.0470165313301259	-0.442011153485483	uncharacterized protein LOC105335949
LOC105329123	0.0290677189206729	-0.440403666598785	uncharacterized protein LOC105329123
LOC105345827	0.0321811412199456	-0.43421763514089	uncharacterized protein LOC105345827 isoform X2
LOC105330362	0.0369869700133988	-0.419326587250511	uncharacterized protein LOC105330362
LOC105326179	0.0289977416837376	-0.408749100688107	uncharacterized protein DDB_G0286299 isoform X1
LOC105336053	0.0343149871817891	-0.405971394624517	uncharacterized protein C6orf62 homolog
LOC105337432	0.0420051032939877	-0.401041593886309	uncharacterized protein LOC105337432
LOC105321564	0.0477960947656658	-0.397159607295961	uncharacterized protein LOC105321564 isoform X1
LOC105347348	0.0157712918712883	-0.385151080088211	uncharacterized protein LOC105347348 isoform X4
LOC105321918	0.0161380965105104	-0.365740508376802	uncharacterized protein LOC105321918 isoform X2
LOC105318289	0.0243067240921877	-0.350634463107267	uncharacterized protein LOC105318289 isoform X15
LOC105332769	0.0497791061553466	-0.328870231302211	uncharacterized protein LOC105332769
LOC105317929	0.0057248238590542	-0.258773366719786	uncharacterized protein LOC105317929 isoform X9
LOC117684111	0.0256658697516944	-0.175531149357528	uncharacterized protein LOC117684111
LOC117680354	0.0280083300323593	-0.150904258529172	uncharacterized protein LOC117680354 isoform X1
LOC117687732	0.0420051032939877	0.0599786660337359	uncharacterized protein LOC117687732
LOC117683087	0.00597851202306031	0.168864374681982	uncharacterized protein LOC117683087
LOC105343387	0.0109922883185788	0.247941109243318	uncharacterized protein LOC105343387 isoform X2
LOC105331602	0.0185706138224682	0.332091628783554	uncharacterized protein LOC105331602 isoform X1
LOC105338116	0.0369869700133988	0.365494661729929	uncharacterized protein LOC105338116
LOC117681727	0.04750009280685	0.388703997745141	uncharacterized protein LOC117681727 isoform X1
LOC105335294	0.037383170056626	0.508548222330155	uncharacterized protein LOC105335294
LOC117680471	0.0224155217066923	0.528411099784666	uncharacterized protein LOC117680471
LOC105324523	0.0167041769826536	0.547363690480903	uncharacterized protein LOC105324523 isoform X1
LOC105338113	0.00294098033740642	0.558685164855762	uncharacterized protein LOC105338113
LOC117689230	0.0235546769582489	0.583216927598672	uncharacterized protein LOC117689230
LOC105326208	0.033302211088047	0.60408945451266	uncharacterized protein LOC105326208
LOC105344980	0.00536149317349407	0.606722399915856	uncharacterized protein LOC105344980 isoform X1
LOC105345014	0.0370075800473164	0.607998764349868	uncharacterized protein LOC105345014 isoform X1
LOC105326542	0.0425412728752202	0.609657961861213	uncharacterized protein LOC105326542
LOC105343968	0.00603561955343042	0.615483491233239	uncharacterized protein LOC105343968 isoform X2
LOC105333189	0.00360238081107374	0.622757566487201	uncharacterized protein LOC105333189
LOC105342703	0.0183097911811232	0.649675931400426	uncharacterized protein LOC105342703 isoform X2
LOC105332880	0.00911549920141926	0.655611224835463	uncharacterized protein LOC105332880 isoform X1
LOC109617557	0.0423157742965281	0.670038864991724	uncharacterized protein LOC109617557
LOC117688200	0.0196188567882305	0.676198785264733	uncharacterized protein LOC117688200 isoform X2
LOC105330056	0.00195079621246173	0.691259103794347	uncharacterized protein LOC105330056 isoform X2
LOC117680373	0.00578837430467557	0.693697373381218	uncharacterized protein LOC117680373 isoform X1
LOC105326173	0.00570495288715115	0.694710841054777	uncharacterized protein LOC105326173
LOC117690144	0.00505511601978883	0.697992928759121	uncharacterized protein LOC117690144
LOC117682714	0.00244638932453672	0.702392563532359	uncharacterized protein LOC117682714 isoform X1
LOC105336640	0.000150532317868847	0.709362709719274	uncharacterized protein LOC105336640
LOC105343149	0.0364111622384426	0.724812866380253	uncharacterized protein LOC105343149
LOC105339628	0.0491092769095004	0.725076963518116	uncharacterized protein LOC105339628 isoform X1
LOC105325632	0.0247799082819601	0.727789511954861	uncharacterized protein LOC105325632
LOC105319950	0.0217143478168147	0.732173398214465	uncharacterized protein LOC105319950
LOC117690218	0.019417682880289	0.78178029340249	uncharacterized protein LOC117690218
LOC117680797	0.00308715072408035	0.788005251919904	uncharacterized protein LOC117680797
LOC105335063	0.00399314124900844	0.788306623690387	uncharacterized protein LOC105335063 isoform X1
LOC105321699	0.00320034674434414	0.799809582849748	uncharacterized protein LOC105321699
LOC105325636	0.0325981817232694	0.805484693322694	uncharacterized protein LOC105325636 isoform X1
LOC117686372	0.00979478106649994	0.825344386234154	uncharacterized protein LOC117686372
LOC109617288	0.0406217737288403	0.831872495651493	uncharacterized protein LOC109617288
LOC117684938	0.010972452179167	0.836290472473237	uncharacterized protein LOC117684938
LOC105344530	0.0447297907580638	0.842671602703192	uncharacterized protein LOC105344530
LOC117682452	0.00876700705483183	0.846889732954071	uncharacterized protein LOC117682452 isoform X1
LOC105330706	0.0310312045013512	0.849594239491999	uncharacterized protein LOC105330706
LOC105329382	0.00701126236066509	0.854160411149321	uncharacterized protein LOC105329382 isoform X1
LOC105322317	0.0154511753028146	0.855952369282882	uncharacterized protein LOC105322317
LOC117690049	0.0477822404277497	0.878366806704784	uncharacterized protein LOC117690049
LOC117685507	0.0328458314911635	0.889719163692062	uncharacterized protein LOC117685507
LOC117689526	0.0176972444089239	0.916330372651434	uncharacterized protein LOC117689526
LOC117685104	0.0235615569513624	0.942577308084575	uncharacterized protein LOC117685104
LOC105321063	0.0346693357815192	0.943009695225575	uncharacterized protein LOC105321063
LOC105326747	0.037513574841271	0.955185865991734	uncharacterized protein LOC105326747
LOC109617261	0.0310312045013512	0.958231048206188	uncharacterized protein LOC109617261
LOC117683724	0.0226661182598392	0.963450410007211	uncharacterized protein LOC117683724
LOC105327010	0.0251306727097134	0.963832726326034	uncharacterized protein LOC105327010 isoform X1
LOC117691782	0.0108681188132226	0.976769627126468	uncharacterized protein LOC117691782 isoform X1
LOC105329903	0.00876700705483183	1.02161890584123	uncharacterized protein LOC105329903
LOC117688434	0.0423549388736706	1.02247935925522	uncharacterized protein LOC117688434
LOC117685966	0.00622511416448645	1.02368437342272	uncharacterized protein LOC117685966
LOC105339322	0.00169333396640472	1.0843010341202	uncharacterized protein LOC105339322 isoform X2
LOC105322450	0.027577089326202	1.09576573883408	uncharacterized protein LOC105322450 isoform X1
LOC105324522	0.0478200213288749	1.10363633816299	uncharacterized protein LOC105324522 isoform X1
LOC117691867	0.0208537343052112	1.11166567710218	uncharacterized protein LOC117691867
LOC105333188	0.0132846716589878	1.16731023274179	uncharacterized protein LOC105333188 isoform X1
LOC117690733	0.0232260311449626	1.20176374236122	uncharacterized protein LOC117690733 isoform X1
LOC105338591	2.89334697699945e-06	1.21040026969594	uncharacterized protein LOC105338591 isoform X1
LOC105347280	0.0257566803649478	1.21526084960848	uncharacterized protein LOC105347280
LOC117680505	0.0144925728931092	1.22914586170651	uncharacterized protein LOC117680505 isoform X1
LOC105344740	0.0120679290637307	1.25509409353807	uncharacterized protein LOC105344740
LOC117692918	0.0243067240921877	1.27196077491922	uncharacterized protein LOC117692918
LOC105328320	3.68409391949312e-06	1.28914597993937	uncharacterized protein LOC105328320
LOC105330279	0.0152407243701049	1.29132693204075	uncharacterized protein LOC105330279
LOC117681093	0.0148560215232036	1.29249948113704	uncharacterized protein LOC117681093
LOC105317735	0.0052597481867554	1.44436350087696	uncharacterized protein LOC105317735 isoform X1
LOC105328057	0.0253091164640103	1.45529729855462	uncharacterized protein LOC105328057
LOC117680568	0.0086358365428773	1.45633946451424	uncharacterized protein LOC117680568
LOC105327787	0.00875025681949084	1.47336769356748	uncharacterized protein LOC105327787
LOC109620948	0.0167988369329045	1.51086843777462	uncharacterized protein LOC109620948
LOC105335522	0.0166849710414862	1.54269439729647	uncharacterized protein LOC105335522
LOC105320558	0.00552181290186643	1.58044396859043	uncharacterized protein LOC105320558
LOC117691130	0.00327341723008049	1.86025937816341	uncharacterized protein LOC117691130 isoform X1
LOC117687174	0.00292107136893325	2.14651815215103	uncharacterized protein LOC117687174
LOC117681374	8.81210210746697e-07	3.45536915331548	uncharacterized protein LOC117681374 isoform X1
