gene	padj	log2FoldChange	description
LOC105325208	0.0127843410063335	1.51567445038166	uncharacterized protein LOC105325208 isoform X1
LOC105329900	0.00769111854465105	1.51042434005637	uncharacterized protein LOC105329900
LOC105337955	0.00013503684518933	1.50775955551694	uncharacterized protein LOC105337955 isoform X1
LOC105330372	0.000529461349113518	1.50520059784084	uncharacterized protein LOC105330372
LOC105326325	0.00344444390913286	1.50479889506244	uncharacterized protein LOC105326325
LOC117686996	0.000420663665587054	1.50209388855645	uncharacterized protein LOC117686996 isoform X1
LOC105326280	0.00528720063281429	-1.5274789927564	uncharacterized protein LOC105326280
LOC105335071	0.00125843132365031	-1.52893000555346	uncharacterized protein LOC105335071
LOC117690137	0.0152915896056856	-1.54810835779979	uncharacterized protein LOC117690137
LOC109617432	0.0115123693741997	-1.56582284981323	uncharacterized protein LOC109617432
LOC117685218	0.0171628545624827	-1.57237887649107	uncharacterized protein LOC117685218
LOC117686040	0.020070582309243	-1.59216344089156	uncharacterized protein LOC117686040
LOC105345456	0.0000239137628128088	-1.68545552053153	uncharacterized protein LOC105345456 isoform X1
LOC117690194	0.00765440664976339	-1.70144527173732	uncharacterized protein LOC117690194 isoform X2
LOC105319814	0.0101577352409979	-1.75902923750138	uncharacterized protein LOC105319814
LOC105335220	0.0121262801711423	-1.76334302922312	uncharacterized protein LOC105335220
LOC117683520	0.00187607012078868	-1.77224919996896	uncharacterized protein LOC117683520
LOC105341115	0.00880124111984224	-1.84048791724585	uncharacterized protein LOC105341115
LOC117692303	0.0103588325256146	-1.89392581248223	uncharacterized protein LOC117692303 isoform X1
LOC105322194	0.00157203775999041	-1.90522414416173	uncharacterized protein LOC105322194 isoform X1
LOC105345266	0.00233681842545197	-1.95678588062719	uncharacterized protein LOC105345266 isoform X2
LOC117693157	0.00135276823073105	-1.97508325206654	uncharacterized protein LOC117693157
LOC117691785	0.00173210872345807	-1.98152796178336	uncharacterized protein LOC117691785
LOC105340273	0.000536332167053969	-1.99624665943768	uncharacterized protein LOC105340273
LOC105322191	0.0000796349243382047	-2.05730200439599	uncharacterized protein LOC105322191
LOC105321170	0.000000186166002552337	-2.39669157390139	uncharacterized protein LOC105321170 isoform X3
LOC117691600	0.00172990279744064	-2.47619750302229	uncharacterized protein LOC117691600
LOC117682897	0.000400765538335469	-2.4974072349897	uncharacterized protein LOC117682897
LOC117686971	0.000033995960728113	-2.76831199917034	uncharacterized protein LOC117686971
LOC117690889	0.0049071709827545	-2.82194370468282	uncharacterized protein LOC117690889 isoform X2
LOC117690334	0.000291388038298316	-2.84770085218522	uncharacterized protein LOC117690334
LOC105329147	0.000915313538130834	-2.85939133007806	uncharacterized protein LOC105329147
LOC117690842	0.000136595886900807	-2.89765922646385	uncharacterized protein LOC117690842 isoform X1
LOC105342818	0.000116016418753263	-3.05043019355766	uncharacterized protein LOC105342818
LOC117690798	0.00020203376691926	-3.54432341550778	uncharacterized protein LOC117690798 isoform X1
LOC105342271	0.000490009848517213	-3.60293834382383	uncharacterized protein LOC105342271
