time,month,day,hour,trt,combo,temp,sal,pH,talk,CO3,HCO3,pCO2,Oca,Oar,response
129,6,28,18,T3,T3_6_28,18.01666667,28.95,8.005275509,2037.10675,107.5503818,1771.585839,512.1648098,1.701641039,1.701641039,0.194750551
129,6,28,18,T4,T4_6_28,30.53333333,30.31666667,8.111614111,2094.185583,189.0295453,1631.306278,434.6134995,3.177736613,3.177736613,1.190567213
130,6,28,19,T1,T1_6_28,18.16666667,26.2,7.989158475,1922.253,93.25935976,1692.548848,513.15002,1.486631408,1.486631408,-1.559375367
130,6,28,19,T2,T2_6_28,30.66666667,28.96666667,7.955452659,2037.802833,134.8064842,1708.563197,654.4743771,2.284131898,2.284131898,0.207916561
130,6,28,19,T3,T3_6_28,18.15,29.05,8.004275186,2041.28325,108.1508416,1774.305021,514.7906136,1.71153323,1.71153323,0.26260228
130,6,28,19,T4,T4_6_28,30.5,30.25,8.10797203,2091.40125,187.2246927,1632.975758,438.5858382,3.147970623,3.147970623,1.114847059
131,6,28,20,T1,T1_6_28,18.58333333,26.2,7.992278689,1922.253,94.96490963,1688.464467,510.9636392,1.516689141,1.516689141,-1.559375367
131,6,28,20,T2,T2_6_28,30.76666667,28.55,7.961472919,2020.40075,134.5379282,1691.899187,640.4995119,2.285797509,2.285797509,-0.030811125
131,6,28,20,T3,T3_6_28,18.56666667,28.86666667,8.007136712,2033.626333,109.2227987,1764.164328,511.5194904,1.732433041,1.732433041,0.140803459
131,6,28,20,T4,T4_6_28,30.65,30.08333333,8.116540622,2084.440417,189.58633,1620.24252,427.637381,3.193566195,3.193566195,0.926065841
132,6,28,21,T1,T1_6_28,18.56666667,26.2,7.988887072,1922.253,94.26953321,1690.170371,515.3624281,1.505469248,1.505469248,-1.559375367
132,6,28,21,T2,T2_6_28,30.8,28.48333333,7.966442191,2017.616417,135.5901609,1686.549115,631.5375912,2.30495532,2.30495532,-0.065345194
132,6,28,21,T3,T3_6_28,18.56666667,28.95,8.007288989,2037.10675,109.623002,1766.643256,511.9429294,1.738330034,1.738330034,0.194750551
132,6,28,21,T4,T4_6_28,30.8,29.98333333,8.11193982,2080.263917,187.9672676,1620.102747,433.0957224,3.171176406,3.171176406,0.840121376
133,6,28,22,T1,T1_6_28,18.31666667,26.15,7.996256901,1920.16475,94.8102047,1686.697619,504.1533324,1.512541808,1.512541808,-1.631755076
133,6,28,22,T2,T2_6_28,30.78333333,28.71666667,7.961974793,2027.361583,135.5843924,1696.269971,641.3842662,2.301982807,2.301982807,0.058222463
133,6,28,22,T3,T3_6_28,18.38333333,28.73333333,8.00788944,2028.057667,108.2689834,1760.915278,508.6920779,1.716702826,1.716702826,0.068247978
133,6,28,22,T4,T4_6_28,30.8,30.06666667,8.115482011,2083.744333,189.7444241,1619.185956,429.4048504,3.19971349,3.19971349,0.918010354
134,6,28,23,T1,T1_6_28,18.33333333,26.11666667,8.001254331,1918.772583,95.68580848,1683.164172,497.5178828,1.526729004,1.526729004,-1.669804836
134,6,28,23,T2,T2_6_28,30.78333333,28.83333333,7.962275649,2032.234167,136.2907787,1699.391108,642.1502335,2.312654461,2.312654461,0.120355324
134,6,28,23,T3,T3_6_28,18.21666667,28.65,8.010460302,2024.57725,107.9501584,1758.183627,503.9527332,1.710841793,1.710841793,0.012902121
134,6,28,23,T4,T4_6_28,30.51666667,30.1,8.099339343,2085.1365,183.3960587,1636.179616,448.4681671,3.086338064,3.086338064,0.953501307
135,6,29,0,T1,T1_6_29,18.35,26.2,8.008130786,1922.253,97.40845056,1682.390831,489.4136853,1.554061358,1.554061358,-1.559375367
135,6,29,0,T2,T2_6_29,30.8,28.91666667,7.967561227,2035.714583,138.1608681,1698.273096,633.9365626,2.343687309,2.343687309,0.169318381
135,6,29,0,T3,T3_6_29,18.35,28.75,8.012795816,2028.75375,109.2977103,1759.060146,502.2812409,1.73266361,1.73266361,0.078544469
135,6,29,0,T4,T4_6_29,30.46666667,30.15,8.089247312,2087.22475,180.2121313,1646.101102,461.4582414,3.030985772,3.030985772,1.016810266
136,6,29,1,T1,T1_6_29,18.35,26.35,8.013403943,1928.51775,99.0750651,1684.518531,483.8461526,1.580143631,1.580143631,-1.389417334
136,6,29,1,T2,T2_6_29,30.88333333,28.96666667,7.963046505,2037.802833,137.4941143,1702.006091,642.6599191,2.333118877,2.333118877,0.204151265
136,6,29,1,T3,T3_6_29,18.3,28.68333333,8.007491377,2025.969417,107.7018169,1760.208288,508.4770123,1.707333041,1.707333041,0.029757437
136,6,29,1,T4,T4_6_29,30.81666667,30.5,8.078299945,2101.8425,180.3057892,1660.514041,479.3949966,3.033687383,3.033687383,1.398460621
137,6,29,2,T1,T1_6_29,18.31666667,26.55,8.015318015,1936.87075,100.215873,1690.006212,482.8082753,1.597419238,1.597419238,-1.2238511
137,6,29,2,T2,T2_6_29,30.88333333,28.91666667,7.964584351,2035.714583,137.6475619,1699.548006,639.5697811,2.336321568,2.336321568,0.169318381
137,6,29,2,T3,T3_6_29,18.21666667,28.86666667,8.009187174,2033.626333,108.6175364,1765.548612,507.1892396,1.72033443,1.72033443,0.140803459
137,6,29,2,T4,T4_6_29,30.33333333,30.76666667,8.08018296,2112.979833,180.7542514,1670.415672,476.8851321,3.027237295,3.027237295,1.682680417
138,6,29,3,T1,T1_6_29,18.13333333,26.51666667,8.009615401,1935.478583,98.41947371,1692.991357,488.9028164,1.567608438,1.567608438,-1.246434173
138,6,29,3,T2,T2_6_29,30.91666667,29.08333333,7.973489406,2042.675417,141.0073287,1698.243554,626.1051696,2.391893306,2.391893306,0.286115166
138,6,29,3,T3,T3_6_29,18.16666667,28.8,8.007217836,2030.842,107.748974,1764.902894,509.0568203,1.706570595,1.706570595,0.103662767
138,6,29,3,T4,T4_6_29,30.53333333,30.6,8.073978017,2106.019,178.432469,1669.240536,484.890575,2.994917601,2.994917601,1.534975216
139,6,29,4,T1,T1_6_29,18.13333333,26.6,8.011433584,1938.959,99.13345119,1694.694782,487.2409871,1.578701303,1.578701303,-1.184173126
139,6,29,4,T2,T2_6_29,30.93333333,29.11666667,7.970313011,2044.067583,140.3823851,1701.168774,631.9004949,2.381165974,2.381165974,0.316977725
139,6,29,4,T3,T3_6_29,18.25,28.88333333,8.006006013,2034.322417,108.1027202,1767.522133,511.7049538,1.712329005,1.712329005,0.15038334
139,6,29,4,T4,T4_6_29,30.55,30.43333333,8.071975088,2099.058167,176.7654279,1666.411655,486.4381271,2.970017004,2.970017004,1.320840292
140,6,29,5,T1,T1_6_29,18.13333333,26.83333333,8.006855876,1948.704167,99.19000767,1704.245739,494.7617271,1.578779146,1.578779146,-1.022122999
140,6,29,5,T2,T2_6_29,30.86666667,29.01666667,7.96977032,2039.891083,139.4962832,1699.169179,631.5438823,2.366238479,2.366238479,0.240317624
140,6,29,5,T3,T3_6_29,18.3,28.93333333,8.004613835,2036.410667,108.1691846,1769.453209,514.195733,1.713473472,1.713473472,0.181618215
140,6,29,5,T4,T4_6_29,30.43333333,30.66666667,8.075373949,2108.803333,178.9243564,1670.782962,483.0255249,3.000224264,3.000224264,1.613100436
141,6,29,6,T1,T1_6_29,18.06666667,26.9,8.015075522,1951.4885,100.9366201,1702.694989,484.5186213,1.605866792,1.605866792,-0.966441054
141,6,29,6,T2,T2_6_29,30.93333333,29.05,7.965141684,2041.28325,138.6460412,1702.656494,640.0706122,2.352499695,2.352499695,0.26260228
141,6,29,6,T3,T3_6_29,18,28.88333333,7.996760028,2034.322417,105.382055,1774.157292,522.9509333,1.667529851,1.667529851,0.15038334
141,6,29,6,T4,T4_6_29,30.53333333,30.61666667,8.075685906,2106.715083,179.1023216,1668.282336,482.6980592,3.005962573,3.005962573,1.560264119
142,6,29,7,T1,T1_6_29,18,26.75,8.014570413,1945.22375,100.0131013,1698.720411,483.7922638,1.591247227,1.591247227,-1.086855127
142,6,29,7,T2,T2_6_29,30.9,29.1,7.96179395,2043.3715,137.9162721,1706.523249,646.175593,2.33898813,2.33898813,0.300408545
142,6,29,7,T3,T3_6_29,17.96666667,28.75,7.99473247,2028.75375,104.2939674,1771.285475,524.6107924,1.650729625,1.650729625,0.078544469
142,6,29,7,T4,T4_6_29,30.58333333,30.45,8.072161973,2099.75425,177.0840962,1666.325615,486.5341538,2.975753498,2.975753498,1.341272692
143,6,29,8,T1,T1_6_29,17.96666667,26.71666667,8.006060047,1943.831583,98.08757463,1702.067764,494.1896544,1.560508737,1.560508737,-1.11093428
143,6,29,8,T2,T2_6_29,30.86666667,29.01666667,7.966437065,2039.891083,138.6023749,1701.363885,637.1823779,2.351082255,2.351082255,0.240317624
143,6,29,8,T3,T3_6_29,18.03333333,28.58333333,7.993007662,2021.792917,103.4251611,1766.517159,525.9441217,1.638220525,1.638220525,-0.020538945
143,6,29,8,T4,T4_6_29,30.63333333,30.26666667,8.07525713,2092.097333,177.098725,1658.665817,481.2971432,2.979981927,2.979981927,1.132669808
