num,year,month,day,hour,minute,trt,combo,temp,sal,pH
72,2021,6,13,11,50,acclimation,7_28_11,18.2,28.9,7.89
73,2021,6,13,12,0,acclimation,7_28_12,18.1,28.8,7.88
74,2021,6,13,12,10,acclimation,7_28_12,17.9,28.8,7.88
75,2021,6,13,12,20,acclimation,7_28_12,18.3,28.9,7.87
76,2021,6,13,12,30,acclimation,7_28_12,17.9,28.9,7.88
77,2021,6,13,12,40,acclimation,7_28_12,18.3,28.9,7.88
78,2021,6,13,12,50,acclimation,7_28_12,18.2,28.9,7.87
79,2021,6,13,13,0,acclimation,7_28_13,18.4,28.9,7.88
80,2021,6,13,13,10,acclimation,7_28_13,18.8,28.9,7.88
81,2021,6,13,13,20,acclimation,7_28_13,18.3,28.9,7.88
82,2021,6,13,13,30,acclimation,7_28_13,18.8,28.8,7.89
83,2021,6,13,13,40,acclimation,7_28_13,18.9,28.8,7.88
84,2021,6,13,13,50,acclimation,7_28_13,18.6,28.8,7.88
85,2021,6,13,14,0,acclimation,7_28_14,18.4,28.9,7.87
86,2021,6,13,14,10,acclimation,7_28_14,18.8,28.9,7.88
87,2021,6,13,14,20,acclimation,7_28_14,18.9,29,7.88
88,2021,6,13,14,30,acclimation,7_28_14,19,29,7.89
89,2021,6,13,14,40,acclimation,7_28_14,18.9,29,7.9
90,2021,6,13,14,50,acclimation,7_28_14,19.5,29,7.91
91,2021,6,13,15,0,acclimation,7_28_15,19.3,28.9,7.89
92,2021,6,13,15,10,acclimation,7_28_15,19,28.9,7.91
93,2021,6,13,15,20,acclimation,7_28_15,19.4,28.9,7.88
94,2021,6,13,15,30,acclimation,7_28_15,19.2,28.9,7.91
95,2021,6,13,15,40,acclimation,7_28_15,19.4,28.9,7.88
96,2021,6,13,15,50,acclimation,7_28_15,19.2,28.9,7.91
97,2021,6,13,16,0,acclimation,7_28_16,19.3,29,7.88
98,2021,6,13,16,10,acclimation,7_28_16,19.6,29,7.92
99,2021,6,13,16,20,acclimation,7_28_16,19.7,29,7.89
100,2021,6,13,16,30,acclimation,7_28_16,19.7,28.9,7.93
101,2021,6,13,16,40,acclimation,7_28_16,19.9,28.9,7.89
102,2021,6,13,16,50,acclimation,7_28_16,19.4,28.9,7.94
103,2021,6,13,17,0,acclimation,7_28_17,19.5,29,7.88
104,2021,6,13,17,10,acclimation,7_28_17,19.8,29,7.95
105,2021,6,13,17,20,acclimation,7_28_17,19.9,29.1,7.91
106,2021,6,13,17,30,acclimation,7_28_17,19.5,29.1,7.88
107,2021,6,13,17,40,acclimation,7_28_17,19.6,29.1,7.96
108,2021,6,13,17,50,acclimation,7_28_17,19.5,29.1,7.92
109,2021,6,13,18,0,acclimation,7_28_18,19.3,29.1,7.88
110,2021,6,13,18,10,acclimation,7_28_18,19.4,29,7.95
111,2021,6,13,18,20,acclimation,7_28_18,19.4,29,7.9
112,2021,6,13,18,30,acclimation,7_28_18,19.7,29,7.96
113,2021,6,13,18,40,acclimation,7_28_18,19.6,29,7.9
114,2021,6,13,18,50,acclimation,7_28_18,19.5,29,7.97
115,2021,6,13,19,0,acclimation,7_28_19,19.8,28.9,7.94
116,2021,6,13,19,10,acclimation,7_28_19,19.7,28.9,7.9
117,2021,6,13,19,20,acclimation,7_28_19,19.6,28.9,7.97
118,2021,6,13,19,30,acclimation,7_28_19,19.7,28.9,7.94
119,2021,6,13,19,40,acclimation,7_28_19,19.6,28.9,7.9
120,2021,6,13,19,50,acclimation,7_28_19,19.4,28.9,7.97
121,2021,6,13,20,0,acclimation,7_28_20,19.9,28.9,7.94
122,2021,6,13,20,10,acclimation,7_28_20,19.8,28.8,7.9
123,2021,6,13,20,20,acclimation,7_28_20,19.9,28.9,8
124,2021,6,13,20,30,acclimation,7_28_20,19.8,29,7.95
125,2021,6,13,20,40,acclimation,7_28_20,19.7,29.1,7.91
126,2021,6,13,20,50,acclimation,7_28_20,19.5,29.2,8
127,2021,6,13,21,0,acclimation,7_28_21,19.7,29.3,7.96
128,2021,6,13,21,10,acclimation,7_28_21,19.6,29.3,7.91
129,2021,6,13,21,20,acclimation,7_28_21,19.4,29.3,7.99
130,2021,6,13,21,30,acclimation,7_28_21,19.1,29.2,7.95
131,2021,6,13,21,40,acclimation,7_28_21,19.7,29.1,7.93
132,2021,6,13,21,50,acclimation,7_28_21,20,29.2,7.99
133,2021,6,13,22,0,acclimation,7_28_22,20.3,29.3,7.95
134,2021,6,13,22,10,acclimation,7_28_22,20.1,29.3,7.93
135,2021,6,13,22,20,acclimation,7_28_22,19.5,29.3,8.01
136,2021,6,13,22,30,acclimation,7_28_22,19.6,29.3,7.96
137,2021,6,13,22,40,acclimation,7_28_22,19.7,29.2,7.93
138,2021,6,13,22,50,acclimation,7_28_22,19.9,29.2,8.01
139,2021,6,13,23,0,acclimation,7_28_23,19.7,29.1,7.98
140,2021,6,13,23,10,acclimation,7_28_23,19.8,29.2,7.93
141,2021,6,13,23,20,acclimation,7_28_23,19.6,29.2,8
142,2021,6,13,23,30,acclimation,7_28_23,19.8,29.1,7.97
143,2021,6,13,23,40,acclimation,7_28_23,19.6,29.1,7.94
144,2021,6,13,23,50,acclimation,7_28_23,19.4,29.2,8.02
145,2021,6,14,0,0,acclimation,7_29_0,19.4,29.2,7.98
146,2021,6,14,0,10,acclimation,7_29_0,19.4,29.3,7.94
147,2021,6,14,0,20,acclimation,7_29_0,19.2,29.4,8.02
148,2021,6,14,0,30,acclimation,7_29_0,19.1,29.3,7.97
149,2021,6,14,0,40,acclimation,7_29_0,19.1,29.4,7.94
150,2021,6,14,0,50,acclimation,7_29_0,19.4,29.4,8.02
151,2021,6,14,1,0,acclimation,7_29_1,19,29.4,7.98
152,2021,6,14,1,10,acclimation,7_29_1,19.3,29.4,7.96
153,2021,6,14,1,20,acclimation,7_29_1,19.3,29.4,8.02
154,2021,6,14,1,30,acclimation,7_29_1,19.3,29.4,8
155,2021,6,14,1,40,acclimation,7_29_1,19,29.4,7.95
156,2021,6,14,1,50,acclimation,7_29_1,18.6,29.4,8.02
157,2021,6,14,2,0,acclimation,7_29_2,18.4,29.4,8
158,2021,6,14,2,10,acclimation,7_29_2,18.4,29.4,7.94
159,2021,6,14,2,20,acclimation,7_29_2,18.3,29.4,8.04
160,2021,6,14,2,30,acclimation,7_29_2,18.5,29.4,8
161,2021,6,14,2,40,acclimation,7_29_2,18.7,29.4,7.95
162,2021,6,14,2,50,acclimation,7_29_2,18.7,29.4,8.03
163,2021,6,14,3,0,acclimation,7_29_3,18.4,29.3,8
164,2021,6,14,3,10,acclimation,7_29_3,18.8,29.2,7.96
165,2021,6,14,3,20,acclimation,7_29_3,18.9,29.1,8.05
166,2021,6,14,3,30,acclimation,7_29_3,19.2,29.1,8.01
167,2021,6,14,3,40,acclimation,7_29_3,19,29,7.97
168,2021,6,14,3,50,acclimation,7_29_3,19,29,8.04
169,2021,6,14,4,0,acclimation,7_29_4,18.6,29,8
170,2021,6,14,4,10,acclimation,7_29_4,18.5,28.9,7.97
171,2021,6,14,4,20,acclimation,7_29_4,18.7,28.9,8.04
172,2021,6,14,4,30,acclimation,7_29_4,18.9,29,8.01
173,2021,6,14,4,40,acclimation,7_29_4,18.6,28.9,8.05
174,2021,6,14,4,50,acclimation,7_29_4,18.7,28.8,8.01
175,2021,6,14,5,0,acclimation,7_29_5,18.9,28.8,7.99
176,2021,6,14,5,10,acclimation,7_29_5,19.1,28.8,8.06
177,2021,6,14,5,20,acclimation,7_29_5,18.9,28.9,8.01
178,2021,6,14,5,30,acclimation,7_29_5,19.2,28.9,7.99
179,2021,6,14,5,40,acclimation,7_29_5,18.5,28.8,8.05
180,2021,6,14,5,50,acclimation,7_29_5,18.8,28.9,8.02
181,2021,6,14,6,0,acclimation,7_29_6,18.6,29,8.04
182,2021,6,14,6,10,acclimation,7_29_6,19.1,29,8.01
183,2021,6,14,6,20,acclimation,7_29_6,18.8,29,8.07
184,2021,6,14,6,30,acclimation,7_29_6,18.6,28.9,8.03
185,2021,6,14,6,40,acclimation,7_29_6,18.3,28.9,8
186,2021,6,14,6,50,acclimation,7_29_6,18.7,28.9,8.07
187,2021,6,14,7,0,acclimation,7_29_7,18.3,28.8,8.04
188,2021,6,14,7,10,acclimation,7_29_7,18.5,28.8,8
189,2021,6,14,7,20,acclimation,7_29_7,18.3,28.8,8.07
190,2021,6,14,7,30,acclimation,7_29_7,18.5,28.8,8.04
191,2021,6,14,7,40,acclimation,7_29_7,19.1,28.8,8.08
192,2021,6,14,7,50,acclimation,7_29_7,18.6,28.7,8.05
193,2021,6,14,8,0,acclimation,7_29_8,18.7,28.6,8.01
194,2021,6,14,8,10,acclimation,7_29_8,18.6,28.6,8.08
195,2021,6,14,8,20,acclimation,7_29_8,18.4,28.7,8.05
196,2021,6,14,8,30,acclimation,7_29_8,18.4,28.8,8
197,2021,6,14,8,40,acclimation,7_29_8,18.4,28.8,8.07
198,2021,6,14,8,50,acclimation,7_29_8,18.2,28.7,8.03
199,2021,6,14,9,0,acclimation,7_29_9,18.6,28.7,8.09
200,2021,6,14,9,10,acclimation,7_29_9,18.4,28.7,8.04
201,2021,6,14,9,20,acclimation,7_29_9,18.1,28.8,8.09
202,2021,6,14,9,30,acclimation,7_29_9,18.1,28.8,8.06
203,2021,6,14,9,40,acclimation,7_29_9,18,28.9,8.09
204,2021,6,14,9,50,acclimation,7_29_9,17.7,28.9,8.07
205,2021,6,14,10,0,acclimation,7_29_10,17.7,28.9,8.08
206,2021,6,14,10,10,acclimation,7_29_10,17.8,29,8.05
207,2021,6,14,10,20,acclimation,7_29_10,17.3,29,8.11
208,2021,6,14,10,30,acclimation,7_29_10,17.4,29,8.04
209,2021,6,14,10,40,acclimation,7_29_10,17.5,29,8.11
210,2021,6,14,10,50,acclimation,7_29_10,17.7,29,8.05
211,2021,6,14,11,0,acclimation,7_29_11,17.6,29,8.11
212,2021,6,14,11,10,acclimation,7_29_11,17.3,28.9,8.06
213,2021,6,14,11,20,acclimation,7_29_11,17.7,28.8,8.11
214,2021,6,14,11,30,acclimation,7_29_11,17.7,28.7,8.07
215,2021,6,14,11,40,acclimation,7_29_11,17.8,28.7,8.11
216,2021,6,14,11,50,acclimation,7_29_11,17.5,28.7,8.07
217,2021,6,14,12,0,acclimation,7_29_12,17.5,28.8,8.11
218,2021,6,14,12,10,acclimation,7_29_12,17.6,28.8,8.07
219,2021,6,14,12,20,acclimation,7_29_12,17.8,28.8,8.11
220,2021,6,14,12,30,acclimation,7_29_12,18.3,28.8,8.07
221,2021,6,14,12,40,acclimation,7_29_12,18,28.9,8.13
222,2021,6,14,12,50,acclimation,7_29_12,18,28.9,8.08
223,2021,6,14,13,0,acclimation,7_29_13,18.2,28.8,8.12
224,2021,6,14,13,10,acclimation,7_29_13,17.9,28.7,8.08
225,2021,6,14,13,20,acclimation,7_29_13,18.3,28.6,8.12
226,2021,6,14,13,30,acclimation,7_29_13,18.1,28.6,8.08
227,2021,6,14,13,40,acclimation,7_29_13,18.1,28.6,8.13
228,2021,6,14,13,50,acclimation,7_29_13,18.1,28.5,8.08
229,2021,6,14,14,0,acclimation,7_29_14,18.1,28.6,8.14
230,2021,6,14,14,10,acclimation,7_29_14,18,28.5,8.09
231,2021,6,14,14,20,acclimation,7_29_14,18.1,28.6,8.14
232,2021,6,14,14,30,acclimation,7_29_14,17.9,28.7,8.09
233,2021,6,14,14,40,acclimation,7_29_14,18.1,28.8,8.15
234,2021,6,14,14,50,acclimation,7_29_14,18.5,28.8,8.11
235,2021,6,14,15,0,acclimation,7_29_15,18,28.8,8.14
236,2021,6,14,15,10,acclimation,7_29_15,18.8,28.7,8.11
237,2021,6,14,15,20,acclimation,7_29_15,18.5,28.7,8.13
238,2021,6,14,15,30,acclimation,7_29_15,18.7,28.7,8.11
239,2021,6,14,15,40,acclimation,7_29_15,18.3,28.7,8.14
240,2021,6,14,15,50,acclimation,7_29_15,18.5,28.7,8.1
241,2021,6,14,16,0,acclimation,7_29_16,18.7,28.7,8.13
242,2021,6,14,16,10,acclimation,7_29_16,18.5,28.7,8.11
243,2021,6,14,16,20,acclimation,7_29_16,18.7,28.7,8.14
244,2021,6,14,16,30,acclimation,7_29_16,18.4,28.8,8.1
245,2021,6,14,16,40,acclimation,7_29_16,18.7,28.8,8.13
246,2021,6,14,16,50,acclimation,7_29_16,18.6,28.7,8.12
247,2021,6,14,17,0,acclimation,7_29_17,18.5,28.6,8.16
248,2021,6,14,17,10,acclimation,7_29_17,18.5,28.7,8.11
249,2021,6,14,17,20,acclimation,7_29_17,18.3,28.6,8.15
250,2021,6,14,17,30,acclimation,7_29_17,18.5,28.6,8.11
251,2021,6,14,17,40,acclimation,7_29_17,18.2,28.6,8.13
252,2021,6,14,17,50,acclimation,7_29_17,18.1,28.6,8.16
253,2021,6,14,18,0,acclimation,7_29_18,17.9,28.6,8.12
254,2021,6,14,18,10,acclimation,7_29_18,17.7,28.7,8.14
255,2021,6,14,18,20,acclimation,7_29_18,18.3,28.6,8.12
256,2021,6,14,18,30,acclimation,7_29_18,18,28.7,8.14
257,2021,6,14,18,40,acclimation,7_29_18,17.8,28.8,8.13
258,2021,6,14,18,50,acclimation,7_29_18,18.1,28.8,8.15
259,2021,6,14,19,0,acclimation,7_29_19,18,28.8,8.16
260,2021,6,14,19,10,acclimation,7_29_19,17.6,28.8,8.16
261,2021,6,14,19,20,acclimation,7_29_19,17.6,28.7,8.14
262,2021,6,14,19,30,acclimation,7_29_19,17.9,28.6,8.15
263,2021,6,14,19,40,acclimation,7_29_19,17.9,28.6,8.15
264,2021,6,14,19,50,acclimation,7_29_19,17.9,28.7,8.15
265,2021,6,14,20,0,acclimation,7_29_20,18,28.7,8.18
266,2021,6,14,20,10,acclimation,7_29_20,18.4,28.7,8.14
267,2021,6,14,20,20,acclimation,7_29_20,17.8,28.7,8.07
268,2021,6,14,20,30,acclimation,7_29_20,18.2,28.7,8.05
269,2021,6,14,20,40,acclimation,7_29_20,18.2,28.7,8.07
270,2021,6,14,20,50,acclimation,7_29_20,18.2,28.7,8.03
271,2021,6,14,21,0,acclimation,7_29_21,18.6,28.6,8.08
272,2021,6,14,21,10,acclimation,7_29_21,18.2,28.6,8.05
273,2021,6,14,21,20,acclimation,7_29_21,18.3,28.5,8.09
274,2021,6,14,21,30,acclimation,7_29_21,18.4,28.5,8.05
275,2021,6,14,21,40,acclimation,7_29_21,18.3,28.5,8.08
276,2021,6,14,21,50,acclimation,7_29_21,18.7,28.6,8.06
277,2021,6,14,22,0,acclimation,7_29_22,18.5,28.6,8.08
278,2021,6,14,22,10,acclimation,7_29_22,18.4,28.6,8.05
279,2021,6,14,22,20,acclimation,7_29_22,18.8,28.6,8.09
280,2021,6,14,22,30,acclimation,7_29_22,18.8,28.6,8.05
281,2021,6,14,22,40,acclimation,7_29_22,18.8,28.6,8.09
282,2021,6,14,22,50,acclimation,7_29_22,19.2,28.6,8.05
283,2021,6,14,23,0,acclimation,7_29_23,18.8,28.6,8.07
284,2021,6,14,23,10,acclimation,7_29_23,18.9,28.6,8.08
285,2021,6,14,23,20,acclimation,7_29_23,18.6,28.6,8.07
286,2021,6,14,23,30,acclimation,7_29_23,19.1,28.5,8.09
287,2021,6,14,23,40,acclimation,7_29_23,19.1,28.5,8.06
288,2021,6,14,23,50,acclimation,7_29_23,19,28.6,8.09
289,2021,6,15,0,0,acclimation,7_30_0,19.4,28.7,8.1
290,2021,6,15,0,10,acclimation,7_30_0,19.5,28.8,8.06
291,2021,6,15,0,20,acclimation,7_30_0,18.9,28.8,8.1
292,2021,6,15,0,30,acclimation,7_30_0,19.4,28.8,8.06
293,2021,6,15,0,40,acclimation,7_30_0,19.6,28.9,8.1
294,2021,6,15,0,50,acclimation,7_30_0,19.2,29,8.07
295,2021,6,15,1,0,acclimation,7_30_1,19.6,29,8.1
296,2021,6,15,1,10,acclimation,7_30_1,19.7,29,8.11
297,2021,6,15,1,20,acclimation,7_30_1,20,29,8.1
298,2021,6,15,1,30,acclimation,7_30_1,19.4,29,8.09
299,2021,6,15,1,40,acclimation,7_30_1,19.7,29,8.09
300,2021,6,15,1,50,acclimation,7_30_1,19.6,28.9,8.09
301,2021,6,15,2,0,acclimation,7_30_2,19.6,29,8.09
302,2021,6,15,2,10,acclimation,7_30_2,19.4,28.9,8.09
303,2021,6,15,2,20,acclimation,7_30_2,19.6,28.8,8.09
304,2021,6,15,2,30,acclimation,7_30_2,19.7,28.8,8.09
305,2021,6,15,2,40,acclimation,7_30_2,19.8,28.9,8.1
306,2021,6,15,2,50,acclimation,7_30_2,19.6,28.9,8.1
307,2021,6,15,3,0,acclimation,7_30_3,19.3,28.9,8.1
308,2021,6,15,3,10,acclimation,7_30_3,19.4,28.9,8.09
309,2021,6,15,3,20,acclimation,7_30_3,19.4,28.9,8.1
310,2021,6,15,3,30,acclimation,7_30_3,19.9,28.9,8.1
311,2021,6,15,3,40,acclimation,7_30_3,20,29,8.12
312,2021,6,15,3,50,acclimation,7_30_3,20.2,29.1,8.1
313,2021,6,15,4,0,acclimation,7_30_4,19.6,29,8.11
314,2021,6,15,4,10,acclimation,7_30_4,19.7,29,8.1
315,2021,6,15,4,20,acclimation,7_30_4,19.6,29,8.11
316,2021,6,15,4,30,acclimation,7_30_4,19.5,29,8.11
317,2021,6,15,4,40,acclimation,7_30_4,19.4,28.9,8.11
318,2021,6,15,4,50,acclimation,7_30_4,19.2,28.8,8.12
319,2021,6,15,5,0,acclimation,7_30_5,19.6,28.8,8.11
320,2021,6,15,5,10,acclimation,7_30_5,19.7,28.8,8.12
321,2021,6,15,5,20,acclimation,7_30_5,19.5,28.8,8.12
322,2021,6,15,5,30,acclimation,7_30_5,19.8,28.8,8.11
323,2021,6,15,5,40,acclimation,7_30_5,19.8,28.9,8.12
324,2021,6,15,5,50,acclimation,7_30_5,20,28.9,8.13
325,2021,6,15,6,0,acclimation,7_30_6,19.8,28.9,8.12
326,2021,6,15,6,10,acclimation,7_30_6,19.8,28.9,8.13
327,2021,6,15,6,20,acclimation,7_30_6,19.5,28.9,8.13
328,2021,6,15,6,30,acclimation,7_30_6,19.5,29,8.12
329,2021,6,15,6,40,acclimation,7_30_6,20,29,8.12
330,2021,6,15,6,50,acclimation,7_30_6,19.7,29,8.13
331,2021,6,15,7,0,acclimation,7_30_7,20.1,29,8.13
332,2021,6,15,7,10,acclimation,7_30_7,20,29,8.14
333,2021,6,15,7,20,acclimation,7_30_7,19.9,29,8.12
334,2021,6,15,7,30,acclimation,7_30_7,19.5,29,8.12
335,2021,6,15,7,40,acclimation,7_30_7,19.8,29,8.13
336,2021,6,15,7,50,acclimation,7_30_7,19.8,29,8.13
337,2021,6,15,8,0,acclimation,7_30_8,20.1,29,8.14
338,2021,6,15,8,10,acclimation,7_30_8,20,29.1,8.12
339,2021,6,15,8,20,acclimation,7_30_8,19.8,29.1,8.13
340,2021,6,15,8,30,acclimation,7_30_8,19.4,29.1,8.13
341,2021,6,15,8,40,acclimation,7_30_8,19.8,29.1,8.12
342,2021,6,15,8,50,acclimation,7_30_8,19.4,29,8.14
343,2021,6,15,9,0,acclimation,7_30_9,19.5,29,8.14
344,2021,6,15,9,10,acclimation,7_30_9,19.4,29,8.14
345,2021,6,15,9,20,acclimation,7_30_9,19.5,29,8.13
346,2021,6,15,9,30,acclimation,7_30_9,19.7,29,8.14
347,2021,6,15,9,40,acclimation,7_30_9,19.5,29.1,8.15
348,2021,6,15,9,50,acclimation,7_30_9,19.5,29.1,8.14
349,2021,6,15,10,0,acclimation,7_30_10,19.7,29.1,8.15
350,2021,6,15,10,10,acclimation,7_30_10,19.9,29.1,8.15
351,2021,6,15,10,20,acclimation,7_30_10,20.1,29.1,8.14
352,2021,6,15,10,30,acclimation,7_30_10,19.7,29.1,8.14
353,2021,6,15,10,40,acclimation,7_30_10,19.8,29.1,8.13
354,2021,6,15,10,50,acclimation,7_30_10,19.6,29.1,8.14
355,2021,6,15,11,0,acclimation,7_30_11,19.9,29,8.15
356,2021,6,15,11,10,acclimation,7_30_11,19.6,29,8.13
357,2021,6,15,11,20,acclimation,7_30_11,19.4,28.9,8.14
358,2021,6,15,11,30,acclimation,7_30_11,19.6,29,8.14
359,2021,6,15,11,40,acclimation,7_30_11,19.3,29,8.16
360,2021,6,15,11,50,acclimation,7_30_11,18.7,29,8.15
361,2021,6,15,12,0,acclimation,7_30_12,19.6,29,8.15
362,2021,6,15,12,10,acclimation,7_30_12,19.3,29,8.15
363,2021,6,15,12,20,acclimation,7_30_12,19.7,29,8.15
364,2021,6,15,12,30,acclimation,7_30_12,19.8,29.1,8.14
365,2021,6,15,12,40,acclimation,7_30_12,19.7,29.1,8.15
366,2021,6,15,12,50,acclimation,7_30_12,19.8,29.1,8.14
367,2021,6,15,13,0,acclimation,7_30_13,20,29.2,8.16
368,2021,6,15,13,10,acclimation,7_30_13,19.6,29.2,8.15
369,2021,6,15,13,20,acclimation,7_30_13,19.8,29.2,8.15
370,2021,6,15,13,30,acclimation,7_30_13,19.8,29.2,8.16
371,2021,6,15,13,40,acclimation,7_30_13,20.2,29.2,8.16
372,2021,6,15,13,50,acclimation,7_30_13,19.4,29.1,8.14
373,2021,6,15,14,0,acclimation,7_30_14,19.7,29.1,8.15
374,2021,6,15,14,10,acclimation,7_30_14,19.1,29.1,8.15
375,2021,6,15,14,20,acclimation,7_30_14,19.2,29,8.15
376,2021,6,15,14,30,acclimation,7_30_14,19.8,29,8.15
377,2021,6,15,14,40,acclimation,7_30_14,19.7,28.9,8.14
378,2021,6,15,14,50,acclimation,7_30_14,19.9,29,8.16
379,2021,6,15,15,0,acclimation,7_30_15,19.5,29,8.15
380,2021,6,15,15,10,acclimation,7_30_15,19.5,29.1,8.15
381,2021,6,15,15,20,acclimation,7_30_15,19,29,8.14
382,2021,6,15,15,30,acclimation,7_30_15,18.9,29,8.17
383,2021,6,15,15,40,acclimation,7_30_15,18.8,29.1,8.16
384,2021,6,15,15,50,acclimation,7_30_15,19.2,29.2,8.16
385,2021,6,15,16,0,acclimation,7_30_16,18.8,29.3,8.15
386,2021,6,15,16,10,acclimation,7_30_16,19.3,29.3,8.16
387,2021,6,15,16,20,acclimation,7_30_16,19.6,29.4,8.16
388,2021,6,15,16,30,acclimation,7_30_16,19.1,29.4,8.16
389,2021,6,15,16,40,acclimation,7_30_16,19.3,29.4,8.16
390,2021,6,15,16,50,acclimation,7_30_16,19.1,29.4,8.15
391,2021,6,15,17,0,acclimation,7_30_17,19.4,29.4,8.16
392,2021,6,15,17,10,acclimation,7_30_17,18.7,29.3,8.16
393,2021,6,15,17,20,acclimation,7_30_17,18.7,29.3,8.16
