Round,Label,meanA,OD,GSH,Protein (ug/mL) ,Protein (mg/ul),CS activity (nmol/(mg*min)),ploidy,trt,date of sample
3,R42,0.1805,0.066,0.642,711,0.000711,0.29127535,T,T-heat,7/12/22
3,R46,0.071666667,0.187666667,5.143666667,218.7,0.0002187,7.586864709,T,T-heat,7/12/22
3,R48,0.128,0.145333333,3.577333333,1252.5,0.0012525,0.921340115,T,T-heat,7/12/22
3,R51,0.183333333,0.117333333,2.541333333,1371,0.001371,0.597946715,T,T-desiccation,7/12/22
3,R60,0.1225,0.0275,-0.7825,421.5,0.0004215,-0.598859679,T,T-desiccation,7/12/22
3,T56,0.179666667,0.163666667,4.255666667,1430.4,0.0014304,0.959728537,T,T-control,7/12/22
3,T58,0.164,0.1905,5.2485,1514.4,0.0015144,1.117977097,T,T-control,7/12/22
3,T61,0.1115,0.1825,4.9525,1101.3,0.0011013,1.450631658,T,T-control,7/12/22
3,T62,0.111333333,0.175333333,4.687333333,1029.3,0.0010293,1.469001273,T,T-control,7/12/22
3,X42,0.1405,0.1135,2.3995,884.4,0.0008844,0.875206081,T,T-heat,7/12/22
3,X43,0.1985,0.1185,2.5845,1091.4,0.0010914,0.76389012,T,T-heat,7/12/22
3,X44,0.081,0.142,3.454,626.1,0.0006261,1.779577621,T,T-heat,7/12/22
3,X47,0.151333333,0.164333333,4.280333333,777,0.000777,1.777030487,T,T-control,7/12/22
3,X48,0.248,0.1015,1.9555,1321.8,0.0013218,0.477232903,T,T-control,7/12/22
